	ENEMY_LEVEL	ENEMY_STARS	ENEMY_RARITY	STAMINA_COST	EXP_REWARD	IS_MAJOR	ENVIRONMENT	STAGE_ONE	STAGE_TWO	STAGE_THREE	PRIMARY_LOOT	SECONDARY_LOOT
17-12	106	3	ORANGE_4	7	905	1	CH18_COMBAT_2	STOWAWAY,NPC_SQUID,NPC_SHARK,PIRATE,ROLLER_WARRIOR,NPC_SKELETON_DEER	NPC_LYING_LANTERN,DARK_DRACUL,SKELETON_KING,NPC_SKELETON_DEER,NPC_HEALER_SPRITE,RAGING_REVENANT	NPC_SKELETON_DEER,NPC_SHARK,BONE_DRAGON,NPC_LYING_LANTERN,CRIMSON_WITCH,[boss]SPECTRAL_DRAGON	SHARD_RING_OF_THE_SQUIRREL,SHARD_UNTESTED_JETPACK,SHARD_REEL_BOOM_BOX	SHARD_UNTESTED_JETPACK,SHARD_UNTESTED_JETPACK,SHARD_RING_OF_THE_SQUIRREL,SHARD_RING_OF_THE_SQUIRREL,SHARD_RING_OF_THE_SQUIRREL,SHARD_RING_OF_THE_SQUIRREL
17-13	106	3	ORANGE_4	7	908	0	CH18_COMBAT_SM	NPC_INFERNO_SPIDER,NPC_TROLL_BLOB,ROLLER_WARRIOR,PIRATE,DEEP_DRAGON,SNIPER_WOLF	NPC_MR_SMASHY,ORC_MONK,DARK_DRACUL,CYCLOPS_WIZARD,DRAGZILLA,NPC_CRYSTAL_GOLEM	NPC_WILDLING_SNIPER,NPC_SQUID,UNSTABLE_UNDERSTUDY,SKELETON_KING,FAITH_HEALER,[boss]CENTAUR_OF_ATTENTION	SHARD_REEL_UNICORN_PUKE,SHARD_REEL_GLORY_SEEKER,SHARD_PHAT_PANTS	SHARD_PHAT_PANTS,SHARD_PHAT_PANTS,SHARD_PHAT_PANTS,SHARD_REEL_GLORY_SEEKER,SHARD_REEL_GLORY_SEEKER,SHARD_PHAT_PANTS
17-14	106	3	ORANGE_4	7	910	0	CH18_COMBAT_SM	SATYR,SPIDER_QUEEN,NPC_SQUID,SNIPER_WOLF,CENTAUR_OF_ATTENTION,DRAGZILLA	DEMON_TOTEM,ZOMBIE_SQUIRE,DOPPELGANGER,MOON_DRAKE,SPECTRAL_DRAGON,DWARVEN_ARCHER	NPC_FIRE_IMP,PLANT_SOUL,NPC_HEAD_CRAB,UNSTABLE_UNDERSTUDY,DARK_DRACUL,[boss]FAITH_HEALER	SHARD_RING_OF_THE_SQUIRREL,SHARD_SWEATBAND_OF_TRAINING_MONTAGES,SHARD_LIGHTNING_GREASE	SHARD_LIGHTNING_GREASE,SHARD_LIGHTNING_GREASE,SHARD_LIGHTNING_GREASE,SHARD_SWEATBAND_OF_TRAINING_MONTAGES,SHARD_SWEATBAND_OF_TRAINING_MONTAGES,SHARD_LIGHTNING_GREASE
17-15	107	3	ORANGE_4	7	910	1	CH18_COMBAT_4	DOPPELGANGER,NPC_BUFF_SPRITE,STOWAWAY,UNSTABLE_UNDERSTUDY,CRIMSON_WITCH,BANSHEE	NPC_SHARK,NPC_HEAD_CRAB,DRUIDINATRIX,RABID_DRAGON,MINOTAUR,GENIE	NPC_LYING_LANTERN,NPC_HEAD_CRAB,NPC_CLOUD_MONSTER,RAGING_REVENANT,VULTURE_DRAGON,[boss]SILENT_SPIRIT	SHARD_REEL_IVY_LEAGUE_HAIRCUT,SHARD_LENSLESS_GLASSES,SHARD_REEL_UPHOLSTERED_THRONE	SHARD_LENSLESS_GLASSES,SHARD_LENSLESS_GLASSES,SHARD_REEL_IVY_LEAGUE_HAIRCUT,SHARD_REEL_IVY_LEAGUE_HAIRCUT,SHARD_REEL_IVY_LEAGUE_HAIRCUT,SHARD_REEL_IVY_LEAGUE_HAIRCUT
17-16	107	3	ORANGE_4	7	914	0	CH18_COMBAT_SM	NPC_INFERNO_SPIDER,NPC_TROLL_BLOB,ROLLER_WARRIOR,PIRATE,DEEP_DRAGON,SNIPER_WOLF	NPC_MR_SMASHY,NPC_CLOUD_MONSTER,NPC_SQUID,UNSTABLE_UNDERSTUDY,NPC_MUSHROOM,DARK_DRACUL	NPC_GOBLIN,NPC_SQUID,CYCLOPS_WIZARD,DWARVEN_ARCHER,NPC_LYING_LANTERN,[boss]BROZERKER	SHARD_RING_OF_THE_SQUIRREL,SHARD_SWEATBAND_OF_TRAINING_MONTAGES,SHARD_HEAL_AID	SHARD_HEAL_AID,SHARD_HEAL_AID,SHARD_HEAL_AID,SHARD_SWEATBAND_OF_TRAINING_MONTAGES,SHARD_SWEATBAND_OF_TRAINING_MONTAGES,SHARD_HEAL_AID
17-17	108	3	ORANGE_4	7	916	0	CH18_COMBAT_SM	SATYR,SPIDER_QUEEN,NPC_SQUID,NPC_SQUID,CENTAUR_OF_ATTENTION,DRAGZILLA	MINOTAUR,BANSHEE,UNSTABLE_UNDERSTUDY,SPECTRAL_DRAGON,SNIPER_WOLF,NPC_CRYSTAL_GOLEM	NINJA_DWARF,ORC_MONK,NPC_SKELETON_DEER,[boss]DOPPELGANGER,CATAPULT_KNIGHT,BONE_DRAGON	SHARD_REEL_IVY_LEAGUE_HAIRCUT,SHARD_UNTESTED_JETPACK,SHARD_PHAT_PANTS	SHARD_PHAT_PANTS,SHARD_PHAT_PANTS,SHARD_PHAT_PANTS,SHARD_UNTESTED_JETPACK,SHARD_UNTESTED_JETPACK,SHARD_PHAT_PANTS
17-18	109	3	ORANGE_4	7	916	1	CH18_COMBAT_1	NPC_LYING_LANTERN,NPC_LYING_LANTERN,NPC_CLOUD_MONSTER,STOWAWAY,PIRATE,BANSHEE	NPC_SQUID,NPC_SHARK,NPC_CLOUD_MONSTER,NPC_LYING_LANTERN,AQUATIC_MAN,KRAKEN_KING	NPC_LYING_LANTERN,SKELETON_KING,BONE_DRAGON,SILENT_SPIRIT,RAGING_REVENANT,[boss]SPECTRAL_DRAGON	SHARD_EXTREME_FAD_DIET,SHARD_ROLL_OF_DUCT_TAPE,SHARD_REEL_SHOES_OF_THE_MAD_GOD	SHARD_ROLL_OF_DUCT_TAPE,SHARD_ROLL_OF_DUCT_TAPE,SHARD_EXTREME_FAD_DIET,SHARD_EXTREME_FAD_DIET,SHARD_EXTREME_FAD_DIET,SHARD_EXTREME_FAD_DIET
18-0	110	3	ORANGE_5	7	916	1	CH19_COMBAT_1	NPC_PLAGUE_SKULKER,NPC_PLAGUE_SKULKER,NPC_PLAGUE_SKULKER,NPC_PLAGUE_SKULKER,NPC_SQUID,NPC_SQUID	SILENT_SPIRIT,NPC_PLAGUE_SKULKER,NPC_PLAGUE_SKULKER,NPC_SCARECROW,NPC_STONE_IMP,NPC_STONE_IMP	BANSHEE,NPC_PLAGUE_SKULKER,NPC_PLAGUE_SKULKER,NPC_STONE_IMP,DARK_DRACUL,[boss]PLAGUE_ENTREPRENEUR	SHARD_REEL_ORNATE_CROWN_OF_THE_GM,SHARD_REEL_SICK_MULLET,SHARD_TIME_KILLER	SHARD_REEL_SICK_MULLET,SHARD_REEL_SICK_MULLET,SHARD_REEL_ORNATE_CROWN_OF_THE_GM,SHARD_REEL_ORNATE_CROWN_OF_THE_GM,SHARD_REEL_ORNATE_CROWN_OF_THE_GM,SHARD_REEL_ORNATE_CROWN_OF_THE_GM
18-1	110	3	ORANGE_5	7	919	0	CH19_COMBAT_SM	SATYR,NPC_INFERNO_SPIDER,NPC_SKELETON_DEER,AQUATIC_MAN,NPC_ICE_GOLEM,GENIE	DRUIDINATRIX,NPC_ANT,NPC_CAULDRON_MONSTER,HYDRA,KRAKEN_KING,DARK_DRACUL	VULTURE_DRAGON,NPC_POTTED_PLANT,DOPPELGANGER,RABID_DRAGON,SPIKEY_DRAGON,[boss]SHADOW_ASSASSIN	SHARD_RING_OF_THE_SQUIRREL,SHARD_REEL_GLORY_SEEKER,SHARD_PHAT_PANTS	SHARD_PHAT_PANTS,SHARD_PHAT_PANTS,SHARD_PHAT_PANTS,SHARD_REEL_GLORY_SEEKER,SHARD_REEL_GLORY_SEEKER,SHARD_PHAT_PANTS
18-2	110	3	ORANGE_5	7	922	0	CH19_COMBAT_SM	NPC_PLAGUE_SKULKER,NINJA_DWARF,UNICORGI,MAGIC_DRAGON,DWARVEN_ARCHER,STORM_DRAGON	SNAP_DRAGON,DEMON_TOTEM,NPC_POTTED_PLANT,RABID_DRAGON,NPC_PLAGUE_SKULKER,NPC_STONE_IMP	ZOMBIE_SQUIRE,POLEMASTER,ORC_MONK,GENIE,SNIPER_WOLF,[boss]STORM_DRAGON	SHARD_REEL_ORNATE_CROWN_OF_THE_GM,SHARD_SWEATBAND_OF_TRAINING_MONTAGES,SHARD_LIGHTNING_GREASE	SHARD_LIGHTNING_GREASE,SHARD_LIGHTNING_GREASE,SHARD_LIGHTNING_GREASE,SHARD_SWEATBAND_OF_TRAINING_MONTAGES,SHARD_SWEATBAND_OF_TRAINING_MONTAGES,SHARD_LIGHTNING_GREASE
18-3	111	3	ORANGE_5	7	922	1	CH19_COMBAT_1	NPC_STONE_IMP,NPC_PLAGUE_SKULKER,PLAGUE_ENTREPRENEUR,NPC_EYEBALL,DARK_DRACUL,NPC_PLAGUE_SKULKER	DARK_HORSE,MEDUSA,NPC_TROLL_BLOB,NPC_TROLL_BLOB,RAGING_REVENANT,BANSHEE	NPC_MR_SMASHY,NPC_MR_SMASHY,ZOMBIE_SQUIRE,VULTURE_DRAGON,RABID_DRAGON,[boss]DUNGEON_MAN	SHARD_WAR_SANDALS,SHARD_VOLATILE_SMOOTHIE,SHARD_DOUBLE_BLADED_SWORD	SHARD_VOLATILE_SMOOTHIE,SHARD_VOLATILE_SMOOTHIE,SHARD_WAR_SANDALS,SHARD_WAR_SANDALS,SHARD_WAR_SANDALS,SHARD_WAR_SANDALS
18-4	111	3	ORANGE_5	7	924	0	CH19_COMBAT_SM	NPC_INFERNO_SPIDER,ZOMBIE_SQUIRE,NPC_CAULDRON_MONSTER,STOWAWAY,BONE_DRAGON,BANSHEE	ZOMBIE_SQUIRE,NPC_HEAD_CRAB,NPC_SQUID,NPC_ICE_GOLEM,CRIMSON_WITCH,NPC_STONE_IMP	ZOMBIE_SQUIRE,NPC_HEAD_CRAB,CYCLOPS_WIZARD,NPC_ICE_GOLEM,NPC_LYING_LANTERN,[boss]CURSED_STATUE	SHARD_REEL_ORNATE_CROWN_OF_THE_GM,SHARD_SWEATBAND_OF_TRAINING_MONTAGES,SHARD_HEAL_AID	SHARD_HEAL_AID,SHARD_HEAL_AID,SHARD_HEAL_AID,SHARD_SWEATBAND_OF_TRAINING_MONTAGES,SHARD_SWEATBAND_OF_TRAINING_MONTAGES,SHARD_HEAL_AID
18-5	111	3	ORANGE_5	7	928	0	CH19_COMBAT_SM	NPC_ANT,NPC_CAULDRON_MONSTER,NINJA_DWARF,NPC_SQUID,CYCLOPS_WIZARD,FAITH_HEALER	SPIDER_QUEEN,NPC_GOBLIN,ZOMBIE_SQUIRE,GROOVY_DRUID,NPC_SHARK,BARDBARIAN	DEMON_TOTEM,NPC_POTTED_PLANT,NPC_MR_SMASHY,KRAKEN_KING,[boss]NPC_SQUIRREL,[boss]NPC_SQUIRREL	SHARD_WAR_SANDALS,SHARD_REEL_SICK_MULLET,SHARD_PHAT_PANTS	SHARD_PHAT_PANTS,SHARD_PHAT_PANTS,SHARD_PHAT_PANTS,SHARD_REEL_SICK_MULLET,SHARD_REEL_SICK_MULLET,SHARD_PHAT_PANTS
18-6	112	3	ORANGE_5	7	928	1	CH19_COMBAT_2	NPC_MUSHROOM,NPC_MUSHROOM,NPC_SCARECROW,NPC_POTTED_PLANT,PLANT_SOUL,DRUIDINATRIX	MINOTAUR,MEDUSA,KRAKEN_KING,NPC_STONE_IMP,NPC_PLAGUE_SKULKER,NPC_PLAGUE_SKULKER	BONE_DRAGON,GENIE,SPECTRAL_DRAGON,BANSHEE,[boss]WEE_WITCH,CRIMSON_WITCH	SHARD_REEL_TAROT_DECK_OF_HYPERBOLE,SHARD_REEL_ORBITAL_KITTY,SHARD_SOUL_PUPPET	SHARD_REEL_ORBITAL_KITTY,SHARD_REEL_ORBITAL_KITTY,SHARD_REEL_TAROT_DECK_OF_HYPERBOLE,SHARD_REEL_TAROT_DECK_OF_HYPERBOLE,SHARD_REEL_TAROT_DECK_OF_HYPERBOLE,SHARD_REEL_TAROT_DECK_OF_HYPERBOLE
18-7	112	3	ORANGE_5	7	930	0	CH19_COMBAT_SM	VULTURE_DRAGON,UNICORGI,NPC_TROLL_BLOB,NPC_LYING_LANTERN,NPC_SCARECROW,NPC_MYSTIC_WILDLING	BROZERKER,SNAP_DRAGON,GROOVY_DRUID,DOPPELGANGER,SKELETON_KING,NPC_MUSHROOM	DRAGON_LADY,PLANT_SOUL,SAVAGE_CUTIE,NPC_HEALER_SPRITE,DUST_DEVIL,[boss]SHADOW_ASSASSIN	SHARD_WAR_SANDALS,SHARD_REEL_SICK_MULLET,SHARD_TIME_KILLER	SHARD_TIME_KILLER,SHARD_TIME_KILLER,SHARD_TIME_KILLER,SHARD_REEL_SICK_MULLET,SHARD_REEL_SICK_MULLET,SHARD_TIME_KILLER
18-8	112	3	ORANGE_5	7	933	0	CH19_COMBAT_SM	SAVAGE_CUTIE,NPC_FIRE_IMP,NPC_ANT,NPC_PLAGUE_SKULKER,HYDRA,SPIKEY_DRAGON	RAGING_REVENANT,NINJA_DWARF,NPC_POTTED_PLANT,SNIPER_WOLF,FAITH_HEALER,NPC_PLAGUE_SKULKER	NPC_LYING_LANTERN,NPC_STONE_IMP,DARK_HORSE,KRAKEN_KING,STORM_DRAGON,[boss]SKELETON_KING	SHARD_REEL_TAROT_DECK_OF_HYPERBOLE,SHARD_VOLATILE_SMOOTHIE,SHARD_HEAL_AID	SHARD_HEAL_AID,SHARD_HEAL_AID,SHARD_HEAL_AID,SHARD_VOLATILE_SMOOTHIE,SHARD_VOLATILE_SMOOTHIE,SHARD_HEAL_AID
18-9	113	3	ORANGE_5	7	933	1	CH19_COMBAT_2	NPC_PLAGUE_SKULKER,NPC_CAULDRON_MONSTER,NPC_EYEBALL,NPC_LYING_LANTERN,NPC_KAMIKAZE_GNOME,BARDBARIAN	NPC_BUFF_SPRITE,NPC_HEALER_SPRITE,FAITH_HEALER,ORC_MONK,NPC_MR_SMASHY,NPC_TROLL_BLOB	DARK_HORSE,BROZERKER,NPC_PLAGUE_SKULKER,CYCLOPS_WIZARD,DARK_DRACUL,[boss]DUNGEON_MAN	SHARD_SELF_PRESERVER,SHARD_MACGUFFIN_FRAGMENT_45,SHARD_HEARTY_CHEST	SHARD_MACGUFFIN_FRAGMENT_45,SHARD_MACGUFFIN_FRAGMENT_45,SHARD_SELF_PRESERVER,SHARD_SELF_PRESERVER,SHARD_SELF_PRESERVER,SHARD_SELF_PRESERVER
18-10	113	3	ORANGE_5	7	936	0	CH19_COMBAT_SM	NPC_SCARECROW,BARDBARIAN,NPC_SQUID,NPC_PLAGUE_SKULKER,CURSED_STATUE,DWARVEN_ARCHER	NPC_CAULDRON_MONSTER,NPC_ANT,FAITH_HEALER,NPC_PLAGUE_SKULKER,SPECTRAL_DRAGON	PLANT_SOUL,NPC_MYSTIC_WILDLING,STOWAWAY,NPC_MUSHROOM,CENTAUR_OF_ATTENTION,[boss]SPIKEY_DRAGON	SHARD_REEL_TAROT_DECK_OF_HYPERBOLE,SHARD_VOLATILE_SMOOTHIE,SHARD_DOUBLE_BLADED_SWORD	SHARD_DOUBLE_BLADED_SWORD,SHARD_DOUBLE_BLADED_SWORD,SHARD_DOUBLE_BLADED_SWORD,SHARD_VOLATILE_SMOOTHIE,SHARD_VOLATILE_SMOOTHIE,SHARD_DOUBLE_BLADED_SWORD
18-11	113	3	ORANGE_5	7	938	0	CH19_COMBAT_SM	NPC_CLOUD_MONSTER,DEMON_TOTEM,NPC_SCARECROW,NPC_LYING_LANTERN,UNSTABLE_UNDERSTUDY	NPC_TROLL_BLOB,NPC_SHARK,NPC_CAULDRON_MONSTER,CATAPULT_KNIGHT,NPC_LYING_LANTERN,SNIPER_WOLF	POLEMASTER,VULTURE_DRAGON,BARDBARIAN,NPC_WILDLING_ARCHER,CURSED_STATUE,[boss]MOON_DRAKE	SHARD_SELF_PRESERVER,SHARD_REEL_ORBITAL_KITTY,SHARD_TIME_KILLER	SHARD_TIME_KILLER,SHARD_TIME_KILLER,SHARD_TIME_KILLER,SHARD_REEL_ORBITAL_KITTY,SHARD_REEL_ORBITAL_KITTY,SHARD_TIME_KILLER
18-12	114	3	ORANGE_5	7	938	1	CH19_COMBAT_2	DARK_HORSE,NPC_MR_SMASHY,NPC_MR_SMASHY,NPC_MUSHROOM,NPC_SCARECROW,DARK_DRACUL	RAGING_REVENANT,NPC_SCARECROW,NPC_PLAGUE_SKULKER,RABID_DRAGON,BONE_DRAGON,SNAP_DRAGON	NPC_LYING_LANTERN,[boss]WEE_WITCH,NPC_STONE_IMP,DRUIDINATRIX,SKELETON_KING,MOON_DRAKE	SHARD_REEL_DIRTY_BASTARD_SWORD,SHARD_ANCIENT_TOME_OF_OCCULT_NONSENSE,SHARD_REEL_EYE_ON_THE_PRIZE	SHARD_ANCIENT_TOME_OF_OCCULT_NONSENSE,SHARD_ANCIENT_TOME_OF_OCCULT_NONSENSE,SHARD_REEL_DIRTY_BASTARD_SWORD,SHARD_REEL_DIRTY_BASTARD_SWORD,SHARD_REEL_DIRTY_BASTARD_SWORD,SHARD_REEL_DIRTY_BASTARD_SWORD
18-13	114	3	ORANGE_5	7	942	0	CH19_COMBAT_SM	SILENT_SPIRIT,CATAPULT_KNIGHT,UNSTABLE_UNDERSTUDY,DEEP_DRAGON,STORM_DRAGON,DRAGZILLA	NPC_CAULDRON_MONSTER,BANSHEE,UNSTABLE_UNDERSTUDY,NPC_EYEBALL,SNIPER_WOLF,NPC_ICE_GOLEM	[boss]MINOTAUR,NPC_PLAGUE_SKULKER,BONE_DRAGON,NPC_SQUID,NPC_ICE_GOLEM,NPC_ICE_GOLEM	SHARD_SELF_PRESERVER,SHARD_REEL_ORBITAL_KITTY,SHARD_SOUL_PUPPET	SHARD_SOUL_PUPPET,SHARD_SOUL_PUPPET,SHARD_SOUL_PUPPET,SHARD_REEL_ORBITAL_KITTY,SHARD_REEL_ORBITAL_KITTY,SHARD_SOUL_PUPPET
18-14	114	3	ORANGE_5	7	944	0	CH19_COMBAT_SM	SAVAGE_CUTIE,NPC_BUFF_SPRITE,DARK_DRACUL,NPC_HEAD_CRAB,SNIPER_WOLF,NPC_MUSHROOM	DEMON_TOTEM,NPC_POTTED_PLANT,VULTURE_DRAGON,DRAGZILLA,SKELETON_KING,GENIE	NPC_CAULDRON_MONSTER,SILENT_SPIRIT,BONE_DRAGON,NPC_PLAGUE_SKULKER,NPC_ICE_GOLEM,[boss]SPECTRAL_DRAGON	SHARD_REEL_DIRTY_BASTARD_SWORD,SHARD_MACGUFFIN_FRAGMENT_45,SHARD_DOUBLE_BLADED_SWORD	SHARD_DOUBLE_BLADED_SWORD,SHARD_DOUBLE_BLADED_SWORD,SHARD_DOUBLE_BLADED_SWORD,SHARD_MACGUFFIN_FRAGMENT_45,SHARD_MACGUFFIN_FRAGMENT_45,SHARD_DOUBLE_BLADED_SWORD
18-15	115	3	ORANGE_5	7	944	1	CH19_COMBAT_3	GENIE,CYCLOPS_WIZARD,FAITH_HEALER,MOON_DRAKE,BROZERKER,DOPPELGANGER	RAGING_REVENANT,DRAGZILLA,SPIKEY_DRAGON,SILENT_SPIRIT,NPC_PLAGUE_SKULKER,NPC_STONE_IMP	NPC_PLAGUE_SKULKER,[boss]PLAGUE_ENTREPRENEUR,DARK_DRACUL,DARK_HORSE,CRIMSON_WITCH,BARDBARIAN	SHARD_PHOTO_BOMB,SHARD_THE_HOLY_PAIL,SHARD_REEL_BRAIN_GUARD_9000	SHARD_THE_HOLY_PAIL,SHARD_THE_HOLY_PAIL,SHARD_PHOTO_BOMB,SHARD_PHOTO_BOMB,SHARD_PHOTO_BOMB,SHARD_PHOTO_BOMB
18-16	115	3	ORANGE_5	7	947	0	CH19_COMBAT_SM	DEMON_TOTEM,SNAP_DRAGON,DRUIDINATRIX,NPC_PLAGUE_SKULKER,NPC_SCARECROW,NPC_WILDLING_ARCHER	NPC_GOBLIN,UNICORGI,NPC_SQUID,NPC_HEAD_CRAB,UNSTABLE_UNDERSTUDY,NPC_ICE_GOLEM	NPC_INFERNO_SPIDER,ZOMBIE_SQUIRE,NINJA_DWARF,DUST_DEVIL,SHADOW_ASSASSIN,[boss]WEE_WITCH	SHARD_REEL_DIRTY_BASTARD_SWORD,SHARD_MACGUFFIN_FRAGMENT_45,SHARD_HEARTY_CHEST	SHARD_HEARTY_CHEST,SHARD_HEARTY_CHEST,SHARD_HEARTY_CHEST,SHARD_MACGUFFIN_FRAGMENT_45,SHARD_MACGUFFIN_FRAGMENT_45,SHARD_HEARTY_CHEST
18-17	115	3	ORANGE_5	7	950	0	CH19_COMBAT_SM	UNSTABLE_UNDERSTUDY,DUST_DEVIL,NPC_HEAD_CRAB,NPC_MUSHROOM,DEEP_DRAGON,DWARVEN_ARCHER	NPC_TROLL_BLOB,NPC_CAULDRON_MONSTER,GROOVY_DRUID,COSMIC_ELF,NPC_PLAGUE_SKULKER,NPC_CRYSTAL_GOLEM	NPC_STONE_IMP,NPC_WILDLING_SNIPER,AQUATIC_MAN,RABID_DRAGON,SKELETON_KING,[boss]FAITH_HEALER	SHARD_PHOTO_BOMB,SHARD_ANCIENT_TOME_OF_OCCULT_NONSENSE,SHARD_SOUL_PUPPET	SHARD_SOUL_PUPPET,SHARD_SOUL_PUPPET,SHARD_SOUL_PUPPET,SHARD_ANCIENT_TOME_OF_OCCULT_NONSENSE,SHARD_ANCIENT_TOME_OF_OCCULT_NONSENSE,SHARD_SOUL_PUPPET
18-18	115	3	ORANGE_5	7	950	1	CH19_COMBAT_4	NPC_PLAGUE_SKULKER,NPC_PLAGUE_SKULKER,PLAGUE_ENTREPRENEUR,NPC_ANT,NPC_ANT,HYDRA	BANSHEE,RAGING_REVENANT,VULTURE_DRAGON,NPC_LYING_LANTERN,NPC_STONE_IMP,SILENT_SPIRIT	[boss]WEREDRAGON,BONE_DRAGON,CYCLOPS_WIZARD,MEDUSA,FAITH_HEALER,DARK_DRACUL	SHARD_ANTI_MAGIC_SHIELD,SHARD_COSPLAY_SWORD,SHARD_REEL_BEARLY_THERE_BOOTS	SHARD_COSPLAY_SWORD,SHARD_COSPLAY_SWORD,SHARD_ANTI_MAGIC_SHIELD,SHARD_ANTI_MAGIC_SHIELD,SHARD_ANTI_MAGIC_SHIELD,SHARD_ANTI_MAGIC_SHIELD
19-0	115	3	ORANGE_6	7	950	1	CH20_COMBAT_1	NPC_FLEA_DEMON,NPC_FLEA_DEMON,NPC_FLEA_DEMON,NPC_FLEA_DEMON,NPC_FLEA_DEMON,NPC_FLEA_DEMON	NPC_STONE_IMP,NPC_STONE_IMP,NPC_STONE_IMP,NPC_FIRE_IMP,NPC_FIRE_IMP,NPC_FIRE_IMP	NPC_FIRE_IMP,NPC_FIRE_IMP,NPC_STONE_IMP,NPC_STONE_IMP,NPC_FLEA_DEMON,[boss]VILE_BILE	SHARD_REEL_HOLY_LANCE_OF_PLOT_ADVANCEMENT,SHARD_REEL_UPHOLSTERED_THRONE,SHARD_CREATINE_CACTUS	SHARD_REEL_UPHOLSTERED_THRONE,SHARD_REEL_UPHOLSTERED_THRONE,SHARD_REEL_HOLY_LANCE_OF_PLOT_ADVANCEMENT,SHARD_REEL_HOLY_LANCE_OF_PLOT_ADVANCEMENT,SHARD_REEL_HOLY_LANCE_OF_PLOT_ADVANCEMENT,SHARD_REEL_HOLY_LANCE_OF_PLOT_ADVANCEMENT
19-1	115	3	ORANGE_6	7	952	0	CH20_COMBAT_SM	NPC_SHARK,NPC_GOBLIN,NPC_CAULDRON_MONSTER,CURSED_STATUE,SHADOW_ASSASSIN,SPIKEY_DRAGON	NPC_ANT,ZOMBIE_SQUIRE,NPC_SHARK,AQUATIC_MAN,NPC_MUSHROOM,NPC_MUSHROOM	DARK_HORSE,FROST_GIANT,UNSTABLE_UNDERSTUDY,NPC_SQUID,NPC_STONE_IMP,[boss]CRIMSON_WITCH	SHARD_REEL_DIRTY_BASTARD_SWORD,SHARD_REEL_ORBITAL_KITTY,SHARD_SOUL_PUPPET	SHARD_SOUL_PUPPET,SHARD_SOUL_PUPPET,SHARD_SOUL_PUPPET,SHARD_REEL_ORBITAL_KITTY,SHARD_REEL_ORBITAL_KITTY,SHARD_SOUL_PUPPET
19-2	115	3	ORANGE_6	7	956	0	CH20_COMBAT_SM	POLEMASTER,MINOTAUR,CATAPULT_KNIGHT,MEDUSA,NPC_SQUIRREL,NPC_CRYSTAL_GOLEM	NPC_CAULDRON_MONSTER,NPC_INFERNO_SPIDER,GROOVY_DRUID,KRAKEN_KING,DWARVEN_ARCHER,SHADOW_ASSASSIN	ORC_MONK,RABID_DRAGON,DOPPELGANGER,NPC_HEAD_CRAB,NPC_SQUIRREL,[boss]SPECTRAL_DRAGON	SHARD_REEL_HOLY_LANCE_OF_PLOT_ADVANCEMENT,SHARD_MACGUFFIN_FRAGMENT_45,SHARD_DOUBLE_BLADED_SWORD	SHARD_DOUBLE_BLADED_SWORD,SHARD_DOUBLE_BLADED_SWORD,SHARD_DOUBLE_BLADED_SWORD,SHARD_MACGUFFIN_FRAGMENT_45,SHARD_MACGUFFIN_FRAGMENT_45,SHARD_DOUBLE_BLADED_SWORD
19-3	116	3	ORANGE_6	7	956	1	CH20_COMBAT_2	NPC_INFERNO_SPIDER,NPC_FIRE_IMP,NPC_SKELETON_DEER,NPC_SKELETON_DEER,NPC_INFERNO_SPIDER,NPC_FIRE_IMP	NPC_EYEBALL,VILE_BILE,NPC_EYEBALL,ORC_MONK,FAITH_HEALER,NPC_FLEA_DEMON	NPC_FIRE_IMP,NPC_FIRE_IMP,NPC_INFERNO_SPIDER,[boss]SNAP_DRAGON,BURNT_ONE,WEREDRAGON	SHARD_BOWIE_KNIFE,SHARD_REEL_BOOM_BOX,SHARD_MUNDANE_MUSHROOMS	SHARD_REEL_BOOM_BOX,SHARD_REEL_BOOM_BOX,SHARD_BOWIE_KNIFE,SHARD_BOWIE_KNIFE,SHARD_BOWIE_KNIFE,SHARD_BOWIE_KNIFE
19-4	116	3	ORANGE_6	7	958	0	CH20_COMBAT_SM	BROZERKER,SPIDER_QUEEN,NPC_TROLL_BLOB,ELECTROYETI,BONE_DRAGON,DARK_DRACUL	ZOMBIE_SQUIRE,SPIDER_QUEEN,VULTURE_DRAGON,VILE_BILE,CYCLOPS_WIZARD,BANSHEE	SATYR,STOWAWAY,CATAPULT_KNIGHT,NPC_SCARECROW,BURNT_ONE,[boss]SNAP_DRAGON	SHARD_REEL_HOLY_LANCE_OF_PLOT_ADVANCEMENT,SHARD_MACGUFFIN_FRAGMENT_45,SHARD_HEARTY_CHEST	SHARD_HEARTY_CHEST,SHARD_HEARTY_CHEST,SHARD_HEARTY_CHEST,SHARD_MACGUFFIN_FRAGMENT_45,SHARD_MACGUFFIN_FRAGMENT_45,SHARD_HEARTY_CHEST
