	ENEMY_LEVEL	ENEMY_STARS	ENEMY_RARITY	STAMINA_COST	IS_MAJOR	EXP_REWARD	STAGE_ONE	STAGE_TWO	STAGE_THREE	PRIMARY_LOOT	SECONDARY_LOOT
13-0	91	5	ORANGE	14	1	735	BROZERKER,NPC_HEAD_CRAB	NPC_KAMIKAZE_GNOME,DRUIDINATRIX,SNAP_DRAGON,SHADOW_ASSASSIN	NPC_CLOUD_MONSTER,COSMIC_ELF,RABID_DRAGON,[boss]CATAPULT_KNIGHT,MOON_DRAKE	SHARD_REEL_BIG_STABBY_SPEAR,SHARD_REEL_POWER_OF_SCIENCE,SHARD_BOWIE_KNIFE	SHARD_REEL_POWER_OF_SCIENCE,SHARD_REEL_BIG_STABBY_SPEAR,SHARD_REEL_BIG_STABBY_SPEAR
13-3	92	5	ORANGE	14	1	742	NPC_TROLL_BLOB,SKELETON_KING,MAGIC_DRAGON,FAITH_HEALER	ROLLER_WARRIOR,NPC_FIRE_IMP,SATYR,NPC_SCARECROW,COSMIC_ELF	POLEMASTER,NPC_MR_SMASHY,NINJA_DWARF,DWARVEN_ARCHER,NPC_MUSHROOM,[boss]STORM_DRAGON	SHARD_VORPAL_BOOMERANG,SHARD_REEL_YODELING_SWORD,SHARD_HELM_OF_THE_RAGING_BEAR	SHARD_REEL_YODELING_SWORD,SHARD_VORPAL_BOOMERANG,SHARD_VORPAL_BOOMERANG,SHARD_VORPAL_BOOMERANG,SHARD_VORPAL_BOOMERANG
13-6	93	5	ORANGE	14	1	748	NPC_FIRE_IMP,ZOMBIE_SQUIRE,BONE_DRAGON,NPC_HEALER_SPRITE	NPC_STONE_IMP,SNAP_DRAGON,NPC_CLOUD_MONSTER,NPC_SQUID,COSMIC_ELF	NPC_HEAD_CRAB,NPC_HEAD_CRAB,MINOTAUR,MEDUSA,RABID_DRAGON,[boss]BROZERKER	SHARD_REEL_LIFEDRINKER,SHARD_REEL_GIRDLE_OF_VICTORY,SHARD_HEALTHY_DOSE_OF_SKEPTICISM,FREE_MANS_CROWBAR	SHARD_REEL_GIRDLE_OF_VICTORY,SHARD_REEL_LIFEDRINKER,SHARD_REEL_LIFEDRINKER,FREE_MANS_CROWBAR,FREE_MANS_CROWBAR,FREE_MANS_CROWBAR
13-9	94	5	ORANGE	14	1	755	SAVAGE_CUTIE,NPC_SKELETON_DEER,BARDBARIAN,CATAPULT_KNIGHT	ZOMBIE_SQUIRE,ORC_MONK,NPC_STONE_IMP,MOON_DRAKE,RABID_DRAGON	DARK_DRACUL,DARK_HORSE,HYDRA,AQUATIC_MAN,[boss]DRUIDINATRIX,MAGIC_DRAGON	WAND_OF_GOLD_SPARKLES,SHARD_WIZARDY_FOR_IDIOTS,SHARD_AXE_OF_GRATUITOUS_GUITAR_SOLOS	SHARD_WIZARDY_FOR_IDIOTS,SHARD_WIZARDY_FOR_IDIOTS,WAND_OF_GOLD_SPARKLES,WAND_OF_GOLD_SPARKLES,WAND_OF_GOLD_SPARKLES,WAND_OF_GOLD_SPARKLES
13-12	94	5	ORANGE	14	1	762	NPC_POTTED_PLANT,DARK_HORSE,NPC_KAMIKAZE_GNOME,CATAPULT_KNIGHT,BARDBARIAN	NPC_CAULDRON_MONSTER,NPC_POTTED_PLANT,NINJA_DWARF,AQUATIC_MAN,SKELETON_KING,NPC_CRYSTAL_GOLEM	SATYR,NPC_SKELETON_DEER,[boss]POLEMASTER,COSMIC_ELF,RABID_DRAGON,UNSTABLE_UNDERSTUDY	SHARD_REEL_GRIEVOUS_BODILY_HARM,SHARD_LIGER_BALM,SHARD_REEL_GLASS_CASE_OF_EMOTION	SHARD_LIGER_BALM,SHARD_LIGER_BALM,SHARD_REEL_GRIEVOUS_BODILY_HARM,SHARD_REEL_GRIEVOUS_BODILY_HARM
13-15	95	5	ORANGE	14	1	768	AQUATIC_MAN,ROLLER_WARRIOR,NPC_CLOUD_MONSTER,SHADOW_ASSASSIN,NPC_MUSHROOM	NPC_GOBLIN,NPC_HEAD_CRAB,NPC_HEAD_CRAB,MOON_DRAKE,CENTAUR_OF_ATTENTION,NPC_ICE_GOLEM	DRAGON_LADY,NPC_CLOUD_MONSTER,DUST_DEVIL,NPC_HEAD_CRAB,CATAPULT_KNIGHT,[boss]STORM_DRAGON	SHARD_IMPRACTICAL_CHESTPLATE,SHARD_LOST_DISK_OF_POWER,SHARD_REEL_UNICORN_PUKE	SHARD_LOST_DISK_OF_POWER,SHARD_LOST_DISK_OF_POWER,SHARD_IMPRACTICAL_CHESTPLATE,SHARD_IMPRACTICAL_CHESTPLATE,SHARD_IMPRACTICAL_CHESTPLATE,SHARD_IMPRACTICAL_CHESTPLATE
13-18	95	5	ORANGE	14	1	775	NPC_MR_SMASHY,ORC_MONK,NPC_HEAD_CRAB,NPC_SQUID,NPC_CLOUD_MONSTER	AQUATIC_MAN,UNSTABLE_UNDERSTUDY,HYDRA,NPC_MUSHROOM,NPC_HEALER_SPRITE,CRIMSON_WITCH	DARK_DRACUL,[boss]DARK_HORSE,GROOVY_DRUID,DUST_DEVIL,ELECTROYETI,FROST_GIANT	COPPER_ORE,SHARD_DEAD_EYE,SHARD_REEL_IVY_LEAGUE_HAIRCUT,FREE_MANS_CROWBAR	SHARD_DEAD_EYE,SHARD_DEAD_EYE,FREE_MANS_CROWBAR,FREE_MANS_CROWBAR,FREE_MANS_CROWBAR
14-0	96	5	ORANGE_1	14	1	776	NPC_KAMIKAZE_GNOME,NPC_EYEBALL,NPC_STONE_IMP,BONE_DRAGON	NINJA_DWARF,ROLLER_WARRIOR,NPC_POTTED_PLANT,BARDBARIAN,CATAPULT_KNIGHT	DRAGON_LADY,MINOTAUR,NPC_EYEBALL,SNIPER_WOLF,[boss]MAGIC_DRAGON	SHARD_REEL_DRAGON_SCALE,SHARD_REEL_RATTLING_SABRE,SHARD_SWEATBAND_OF_TRAINING_MONTAGES	SHARD_REEL_RATTLING_SABRE,SHARD_REEL_DRAGON_SCALE,SHARD_REEL_DRAGON_SCALE
14-3	97	5	ORANGE_1	14	1	782	NPC_CLOUD_MONSTER,UNSTABLE_UNDERSTUDY,NPC_SQUID,AQUATIC_MAN	ZOMBIE_SQUIRE,NPC_CAULDRON_MONSTER,DARK_DRACUL,BONE_DRAGON,FROST_GIANT	NPC_TROLL_BLOB,DRUIDINATRIX,NPC_BUFF_SPRITE,GENIE,[boss]SKELETON_KING,NPC_MUSHROOM	SHARD_HEAD_BANGER,SHARD_REEL_MYSTICAL_ELVEN_JUNK,SHARD_UNTESTED_JETPACK	SHARD_REEL_MYSTICAL_ELVEN_JUNK,SHARD_HEAD_BANGER,SHARD_HEAD_BANGER,SHARD_HEAD_BANGER,SHARD_HEAD_BANGER
14-6	98	5	ORANGE_1	14	1	788	BROZERKER,NPC_INFERNO_SPIDER,NPC_BUFF_SPRITE,SNIPER_WOLF	NPC_TROLL_BLOB,NPC_FIRE_IMP,NPC_SKELETON_DEER,CRIMSON_WITCH,SKELETON_KING	MINOTAUR,NINJA_DWARF,UNSTABLE_UNDERSTUDY,[boss]DRAGZILLA,FROST_GIANT	SHARD_REEL_CHUGG_BOOTS,SHARD_REEL_JAR_OF_KITTEN_TEAR,SHARD_LENSLESS_GLASSES	SHARD_REEL_JAR_OF_KITTEN_TEAR,SHARD_REEL_CHUGG_BOOTS,SHARD_REEL_CHUGG_BOOTS
14-9	99	5	ORANGE_1	14	1	793	DARK_HORSE,MEDUSA,NPC_CRYSTAL_GOLEM,SKELETON_KING	UNICORGI,POLEMASTER,ELECTROYETI,BARDBARIAN,MAGIC_DRAGON	NPC_CLOUD_MONSTER,DRUIDINATRIX,ROLLER_WARRIOR,DWARVEN_ARCHER,FAITH_HEALER,[boss]SNIPER_WOLF	SHARD_ADAMANTIUM_TIARA,SHARD_PETER_PIPERS_PEPPER_SPRAY,SHARD_ROLL_OF_DUCT_TAPE	SHARD_PETER_PIPERS_PEPPER_SPRAY,SHARD_PETER_PIPERS_PEPPER_SPRAY,SHARD_ADAMANTIUM_TIARA,SHARD_ADAMANTIUM_TIARA,SHARD_ADAMANTIUM_TIARA,SHARD_ADAMANTIUM_TIARA
14-12	99	5	ORANGE_1	14	1	799	SNAP_DRAGON,NPC_CAULDRON_MONSTER,RABID_DRAGON,FAITH_HEALER	NPC_FIRE_IMP,NPC_EYEBALL,NPC_BUFF_SPRITE,GROOVY_DRUID,DWARVEN_ARCHER	SATYR,NPC_POTTED_PLANT,BONE_DRAGON,SAVAGE_CUTIE,[boss]SPIKEY_DRAGON,BARDBARIAN	SHARD_REEL_BLACKSTEEL_BLADE,SHARD_EXTREME_FAD_DIET,SHARD_REEL_ORNATE_CROWN_OF_THE_GM	SHARD_EXTREME_FAD_DIET,SHARD_EXTREME_FAD_DIET,SHARD_REEL_BLACKSTEEL_BLADE,SHARD_REEL_BLACKSTEEL_BLADE,FREE_MANS_CROWBAR,FREE_MANS_CROWBAR
14-15	100	5	ORANGE_1	14	1	806	NPC_INFERNO_SPIDER,NPC_HEAD_CRAB,SNIPER_WOLF,ORC_MONK	NINJA_DWARF,NPC_SQUID,AQUATIC_MAN,NPC_MUSHROOM,GENIE	NPC_INFERNO_SPIDER,NPC_CLOUD_MONSTER,NPC_EYEBALL,[boss]ELECTROYETI,COSMIC_ELF,MOON_DRAKE	SHARD_FRAMED_DIPLOMA,SHARD_RING_OF_THE_SQUIRREL,SHARD_REEL_TAROT_DECK_OF_HYPERBOLE,FREE_MANS_CROWBAR	SHARD_RING_OF_THE_SQUIRREL,SHARD_RING_OF_THE_SQUIRREL,SHARD_FRAMED_DIPLOMA,SHARD_FRAMED_DIPLOMA,SHARD_FRAMED_DIPLOMA,SHARD_FRAMED_DIPLOMA
14-18	100	5	ORANGE_1	14	1	812	BROZERKER,NPC_MR_SMASHY,ELECTROYETI,CENTAUR_OF_ATTENTION	SATYR,NPC_CLOUD_MONSTER,NPC_EYEBALL,SHADOW_ASSASSIN,STORM_DRAGON	NPC_SKELETON_DEER,UNICORGI,SNIPER_WOLF,[boss]DRAGZILLA,DUST_DEVIL,CRIMSON_WITCH	COPPER_ORE,SHARD_HIGH_TEA,SHARD_REEL_DIRTY_BASTARD_SWORD	SHARD_HIGH_TEA,SHARD_HIGH_TEA,FREE_MANS_CROWBAR,FREE_MANS_CROWBAR,FREE_MANS_CROWBAR,FREE_MANS_CROWBAR
15-0	101	5	ORANGE_2	14	1	812	NPC_SHARK,NPC_MR_SMASHY,DRAGZILLA,NPC_SQUIRREL	NPC_TROLL_BLOB,DEMON_TOTEM,NPC_EYEBALL,HYDRA,SHADOW_ASSASSIN	NPC_SHARK,COSMIC_ELF,NPC_SQUID,CATAPULT_KNIGHT,SKELETON_KING,[boss]STOWAWAY	SHARD_REEL_YODELING_SWORD,SHARD_REEL_UNICORN_PUKE,SHARD_COSPLAY_SWORD,FREE_MANS_CROWBAR	SHARD_REEL_UNICORN_PUKE,SHARD_REEL_YODELING_SWORD,SHARD_REEL_YODELING_SWORD,FREE_MANS_CROWBAR,FREE_MANS_CROWBAR,FREE_MANS_CROWBAR
15-3	102	5	ORANGE_2	14	1	819	DEMON_TOTEM,GROOVY_DRUID,ELECTROYETI,NPC_SQUIRREL	NPC_MR_SMASHY,NPC_CAULDRON_MONSTER,AQUATIC_MAN,MOON_DRAKE,NPC_MUSHROOM	BROZERKER,NPC_KAMIKAZE_GNOME,[boss]CYCLOPS_WIZARD,CATAPULT_KNIGHT,RABID_DRAGON,FROST_GIANT	SHARD_HAROLDS_HOMEMADE_HALBERD,SHARD_REEL_GLASS_CASE_OF_EMOTION,SHARD_MACGUFFIN_FRAGMENT_45	SHARD_REEL_GLASS_CASE_OF_EMOTION,SHARD_HAROLDS_HOMEMADE_HALBERD,SHARD_HAROLDS_HOMEMADE_HALBERD,SHARD_HAROLDS_HOMEMADE_HALBERD,SHARD_HAROLDS_HOMEMADE_HALBERD
15-6	103	5	ORANGE_2	14	1	825	UNICORGI,MINOTAUR,NPC_MR_SMASHY,BONE_DRAGON	NPC_FIRE_IMP,NPC_CLOUD_MONSTER,MEDUSA,UNSTABLE_UNDERSTUDY,RABID_DRAGON	ORC_MONK,NPC_SHARK,PIRATE,SHADOW_ASSASSIN,STORM_DRAGON,[boss]STOWAWAY	SHARD_REEL_POWER_OF_SCIENCE,SHARD_REEL_IVY_LEAGUE_HAIRCUT,SHARD_THE_HOLY_PAIL	SHARD_REEL_IVY_LEAGUE_HAIRCUT,SHARD_REEL_POWER_OF_SCIENCE,SHARD_REEL_POWER_OF_SCIENCE
15-9	104	5	ORANGE_2	14	1	831	MINOTAUR,DUST_DEVIL,NPC_SQUID,NPC_SQUIRREL	NPC_KAMIKAZE_GNOME,NPC_SQUID,GROOVY_DRUID,MAGIC_DRAGON,GENIE	NPC_SHARK,NPC_TROLL_BLOB,COSMIC_ELF,CRIMSON_WITCH,FAITH_HEALER,[boss]DEEP_DRAGON	SHARD_PHILTER_OF_PURE_TESTOSTERONE,SHARD_PHOTO_BOMB,SHARD_ANCIENT_TOME_OF_OCCULT_NONSENSE	SHARD_PHOTO_BOMB,SHARD_PHOTO_BOMB,SHARD_PHILTER_OF_PURE_TESTOSTERONE,SHARD_PHILTER_OF_PURE_TESTOSTERONE,SHARD_PHILTER_OF_PURE_TESTOSTERONE,SHARD_PHILTER_OF_PURE_TESTOSTERONE
15-12	104	5	ORANGE_2	14	1	837	NPC_KAMIKAZE_GNOME,NPC_CLOUD_MONSTER,DRUIDINATRIX,MOON_DRAKE,NPC_SQUID	ROLLER_WARRIOR,NPC_MR_SMASHY,NPC_SHARK,AQUATIC_MAN,FROST_GIANT	NPC_STONE_IMP,SNAP_DRAGON,HYDRA,[boss]GENIE,CRIMSON_WITCH,DWARVEN_ARCHER	SHARD_REEL_GIRDLE_OF_VICTORY,SHARD_ANTI_MAGIC_SHIELD,SHARD_REEL_HOLY_LANCE_OF_PLOT_ADVANCEMENT	SHARD_ANTI_MAGIC_SHIELD,SHARD_ANTI_MAGIC_SHIELD,SHARD_REEL_GIRDLE_OF_VICTORY,SHARD_REEL_GIRDLE_OF_VICTORY
15-15	105	5	ORANGE_2	14	1	842	DEMON_TOTEM,NPC_HEAD_CRAB,NPC_BUFF_SPRITE,MAGIC_DRAGON,GENIE	BROZERKER,ROLLER_WARRIOR,NPC_SHARK,PIRATE,DUST_DEVIL	NPC_MR_SMASHY,DARK_DRACUL,CYCLOPS_WIZARD,HYDRA,[boss]SNIPER_WOLF,SPIKEY_DRAGON	SHARD_BOOTS_MADE_FOR_WALKIN,SHARD_SELF_PRESERVER,SHARD_REEL_EYE_OF_THE_BEHOLDER	SHARD_SELF_PRESERVER,SHARD_SELF_PRESERVER,SHARD_BOOTS_MADE_FOR_WALKIN,SHARD_BOOTS_MADE_FOR_WALKIN,SHARD_BOOTS_MADE_FOR_WALKIN,SHARD_BOOTS_MADE_FOR_WALKIN
15-18	105	5	ORANGE_2	14	1	849	DRAGON_LADY,NPC_INFERNO_SPIDER,NPC_HEAD_CRAB,NPC_HEAD_CRAB,NPC_EYEBALL	NINJA_DWARF,NPC_SHARK,CATAPULT_KNIGHT,PIRATE,CYCLOPS_WIZARD	NPC_CAULDRON_MONSTER,MEDUSA,NPC_SHARK,AQUATIC_MAN,STOWAWAY,[boss]DEEP_DRAGON	COPPER_ORE,SHARD_WAR_SANDALS,SHARD_REEL_GLORY_SEEKER,FREE_MANS_CROWBAR	SHARD_WAR_SANDALS,SHARD_WAR_SANDALS,COPPER_ORE,COPPER_ORE,COPPER_ORE,COPPER_ORE
16-0	106	5	ORANGE_3	14	1	849	NPC_SKELETON_DEER,NPC_SQUID,NPC_SQUID,NPC_SHARK,DARK_DRACUL	NPC_SHARK,BANSHEE,DRAGZILLA,CYCLOPS_WIZARD,CRIMSON_WITCH	NPC_FIRE_IMP,NPC_FIRE_IMP,BONE_DRAGON,KRAKEN_KING,MEDUSA,[boss]AQUATIC_MAN	SHARD_REEL_RATTLING_SABRE,SHARD_REEL_ORNATE_CROWN_OF_THE_GM,SHARD_VOLATILE_SMOOTHIE	SHARD_REEL_ORNATE_CROWN_OF_THE_GM,SHARD_REEL_ORNATE_CROWN_OF_THE_GM,SHARD_REEL_RATTLING_SABRE,SHARD_REEL_RATTLING_SABRE,SHARD_REEL_RATTLING_SABRE,SHARD_REEL_RATTLING_SABRE
16-3	107	5	ORANGE_3	14	1	854	CYCLOPS_WIZARD,AQUATIC_MAN,BARDBARIAN,DRAGZILLA,SKELETON_KING,NPC_CRYSTAL_GOLEM	NPC_POTTED_PLANT,NPC_CAULDRON_MONSTER,NINJA_DWARF,CRIMSON_WITCH,NPC_ANT,SHADOW_ASSASSIN	NPC_POTTED_PLANT,NPC_STONE_IMP,NPC_HEAD_CRAB,CURSED_STATUE,DWARVEN_ARCHER,[boss]PIRATE	SHARD_DEAD_EYE,SHARD_REEL_TAROT_DECK_OF_HYPERBOLE,SHARD_LITTLE_PRICKS	SHARD_REEL_TAROT_DECK_OF_HYPERBOLE,SHARD_REEL_TAROT_DECK_OF_HYPERBOLE,SHARD_DEAD_EYE,SHARD_DEAD_EYE,SHARD_DEAD_EYE,SHARD_DEAD_EYE
16-6	108	5	ORANGE_3	14	1	860	DRAGON_LADY,BROZERKER,CYCLOPS_WIZARD,CURSED_STATUE,FAITH_HEALER,NPC_WILDLING_ARCHER	ORC_MONK,ZOMBIE_SQUIRE,NPC_HEAD_CRAB,SPIKEY_DRAGON,NPC_ANT,DWARVEN_ARCHER	NPC_POTTED_PLANT,NPC_ANT,PLANT_SOUL,MAGIC_DRAGON,CENTAUR_OF_ATTENTION,[boss]SPIDER_QUEEN	SHARD_REEL_MYSTICAL_ELVEN_JUNK,SHARD_REEL_DIRTY_BASTARD_SWORD,SHARD_RING_OF_ILL_WILL	SHARD_REEL_DIRTY_BASTARD_SWORD,SHARD_REEL_DIRTY_BASTARD_SWORD,SHARD_REEL_MYSTICAL_ELVEN_JUNK,SHARD_REEL_MYSTICAL_ELVEN_JUNK,SHARD_REEL_MYSTICAL_ELVEN_JUNK,SHARD_REEL_MYSTICAL_ELVEN_JUNK
16-9	109	5	ORANGE_3	14	1	866	MINOTAUR,NPC_ANT,POLEMASTER,DUST_DEVIL,SNIPER_WOLF,STORM_DRAGON	ZOMBIE_SQUIRE,SPIDER_QUEEN,NPC_SCARECROW,AQUATIC_MAN,SPIKEY_DRAGON,GENIE	NPC_CAULDRON_MONSTER,NPC_BUFF_SPRITE,GROOVY_DRUID,SKELETON_KING,FAITH_HEALER,[boss]CURSED_STATUE	SHARD_WIZARDY_FOR_IDIOTS,SHARD_BOWIE_KNIFE,SHARD_FOUR_D_GLASSES	SHARD_BOWIE_KNIFE,SHARD_BOWIE_KNIFE,SHARD_WIZARDY_FOR_IDIOTS,SHARD_WIZARDY_FOR_IDIOTS,SHARD_WIZARDY_FOR_IDIOTS,SHARD_WIZARDY_FOR_IDIOTS
16-12	109	5	ORANGE_3	14	1	872	NPC_INFERNO_SPIDER,NPC_CAULDRON_MONSTER,NPC_KAMIKAZE_GNOME,NPC_MYSTIC_WILDLING,DARK_DRACUL,FAITH_HEALER	NPC_MR_SMASHY,SPIKEY_DRAGON,SPECTRAL_DRAGON,DEEP_DRAGON,NPC_ANT,DOPPELGANGER	NPC_SKELETON_DEER,NPC_POTTED_PLANT,BANSHEE,DUST_DEVIL,SHADOW_ASSASSIN,[boss]PLANT_SOUL	SHARD_REEL_JAR_OF_KITTEN_TEAR,SHARD_HELM_OF_THE_RAGING_BEAR,SHARD_REEL_ORBITAL_KITTY	SHARD_HELM_OF_THE_RAGING_BEAR,SHARD_HELM_OF_THE_RAGING_BEAR,SHARD_REEL_JAR_OF_KITTEN_TEAR,SHARD_REEL_JAR_OF_KITTEN_TEAR,SHARD_REEL_JAR_OF_KITTEN_TEAR,SHARD_REEL_JAR_OF_KITTEN_TEAR
16-15	110	5	ORANGE_3	14	1	877	DRAGON_LADY,DARK_HORSE,NPC_HEAD_CRAB,FAITH_HEALER,NPC_ANT,SPIKEY_DRAGON	NPC_MR_SMASHY,VULTURE_DRAGON,NPC_STONE_IMP,PIRATE,DOPPELGANGER,CYCLOPS_WIZARD	NPC_KAMIKAZE_GNOME,NPC_WILDLING_SNIPER,DARK_DRACUL,DRAGZILLA,GENIE,[boss]MEDUSA	SHARD_LIGER_BALM,SHARD_HEALTHY_DOSE_OF_SKEPTICISM,SHARD_REEL_SICK_MULLET	SHARD_HEALTHY_DOSE_OF_SKEPTICISM,SHARD_HEALTHY_DOSE_OF_SKEPTICISM,SHARD_LIGER_BALM,SHARD_LIGER_BALM,SHARD_LIGER_BALM,SHARD_LIGER_BALM
16-18	110	5	ORANGE_3	14	1	882	ROLLER_WARRIOR,NPC_TROLL_BLOB,DOPPELGANGER,NPC_SQUID,STORM_DRAGON,NPC_SHARK	PLANT_SOUL,PIRATE,COSMIC_ELF,CENTAUR_OF_ATTENTION,CRIMSON_WITCH,FAITH_HEALER	NPC_SQUID,KRAKEN_KING,DARK_DRACUL,SPIDER_QUEEN,SHADOW_ASSASSIN,[boss]VULTURE_DRAGON	SHARD_LOST_DISK_OF_POWER,SHARD_AXE_OF_GRATUITOUS_GUITAR_SOLOS,SHARD_REEL_HAMMER_TIME	SHARD_AXE_OF_GRATUITOUS_GUITAR_SOLOS,SHARD_AXE_OF_GRATUITOUS_GUITAR_SOLOS,SHARD_LOST_DISK_OF_POWER,SHARD_LOST_DISK_OF_POWER,SHARD_LOST_DISK_OF_POWER,SHARD_LOST_DISK_OF_POWER
17-0	111	5	ORANGE_4	14	1	882	NPC_SHARK,NPC_SHARK,NPC_HEAD_CRAB,NPC_LYING_LANTERN,SKELETON_KING,DOPPELGANGER	CRIMSON_WITCH,AQUATIC_MAN,NPC_TROLL_BLOB,STOWAWAY,NPC_ANT,SILENT_SPIRIT	NPC_LYING_LANTERN,NPC_ANT,SPIDER_QUEEN,ZOMBIE_SQUIRE,BONE_DRAGON,[boss]BANSHEE	SHARD_HIGH_TEA,SHARD_REEL_HOLY_LANCE_OF_PLOT_ADVANCEMENT,SHARD_LOST_CONCEPT_ART	SHARD_REEL_HOLY_LANCE_OF_PLOT_ADVANCEMENT,SHARD_REEL_HOLY_LANCE_OF_PLOT_ADVANCEMENT,SHARD_HIGH_TEA,SHARD_HIGH_TEA,SHARD_HIGH_TEA,SHARD_HIGH_TEA
17-3	112	5	ORANGE_4	14	1	888	DOPPELGANGER,DEEP_DRAGON,NPC_CLOUD_MONSTER,NPC_SQUID,NPC_SHARK,NPC_SHARK	NPC_HEAD_CRAB,CYCLOPS_WIZARD,VULTURE_DRAGON,DEMON_TOTEM,HYDRA,KRAKEN_KING	NPC_LYING_LANTERN,NPC_LYING_LANTERN,BONE_DRAGON,SKELETON_KING,GENIE,[boss]SILENT_SPIRIT	SHARD_REEL_GLASS_CASE_OF_EMOTION,SHARD_REEL_EYE_OF_THE_BEHOLDER,SHARD_LIGHTNING_GREASE	SHARD_REEL_EYE_OF_THE_BEHOLDER,SHARD_REEL_EYE_OF_THE_BEHOLDER,SHARD_REEL_GLASS_CASE_OF_EMOTION,SHARD_REEL_GLASS_CASE_OF_EMOTION,SHARD_REEL_GLASS_CASE_OF_EMOTION,SHARD_REEL_GLASS_CASE_OF_EMOTION
17-6	113	5	ORANGE_4	14	1	894	NPC_LYING_LANTERN,PIRATE,STOWAWAY,RAGING_REVENANT,NPC_HEALER_SPRITE,NPC_BUFF_SPRITE	SPIDER_QUEEN,BARDBARIAN,NPC_LYING_LANTERN,NPC_HEALER_SPRITE,NPC_CLOUD_MONSTER,DARK_DRACUL	NPC_LYING_LANTERN,NPC_SHARK,NPC_SQUID,FAITH_HEALER,KRAKEN_KING,[boss]SPECTRAL_DRAGON	SHARD_PETER_PIPERS_PEPPER_SPRAY,SHARD_REEL_GLORY_SEEKER,SHARD_PHAT_PANTS	SHARD_REEL_GLORY_SEEKER,SHARD_REEL_GLORY_SEEKER,SHARD_PETER_PIPERS_PEPPER_SPRAY,SHARD_PETER_PIPERS_PEPPER_SPRAY,SHARD_PETER_PIPERS_PEPPER_SPRAY,SHARD_PETER_PIPERS_PEPPER_SPRAY
17-9	113	5	ORANGE_4	14	1	900	DRAGZILLA,DEMON_TOTEM,NPC_CLOUD_MONSTER,NPC_SKELETON_DEER,FAITH_HEALER,ORC_MONK	SNIPER_WOLF,STOWAWAY,CRIMSON_WITCH,NPC_SHARK,NPC_SHARK,NPC_LYING_LANTERN	NPC_LYING_LANTERN,NPC_CLOUD_MONSTER,PIRATE,NPC_HEAD_CRAB,VULTURE_DRAGON,[boss]RAGING_REVENANT	SHARD_REEL_UNICORN_PUKE,SHARD_SWEATBAND_OF_TRAINING_MONTAGES,SHARD_HEAL_AID	SHARD_SWEATBAND_OF_TRAINING_MONTAGES,SHARD_SWEATBAND_OF_TRAINING_MONTAGES,SHARD_REEL_UNICORN_PUKE,SHARD_REEL_UNICORN_PUKE,SHARD_REEL_UNICORN_PUKE,SHARD_REEL_UNICORN_PUKE
17-12	114	5	ORANGE_4	14	1	905	STOWAWAY,NPC_SQUID,NPC_SHARK,PIRATE,ROLLER_WARRIOR,NPC_SKELETON_DEER	NPC_LYING_LANTERN,DARK_DRACUL,SKELETON_KING,NPC_SKELETON_DEER,NPC_HEALER_SPRITE,RAGING_REVENANT	NPC_SKELETON_DEER,NPC_SHARK,BONE_DRAGON,NPC_LYING_LANTERN,CRIMSON_WITCH,[boss]SPECTRAL_DRAGON	SHARD_RING_OF_THE_SQUIRREL,SHARD_UNTESTED_JETPACK,SHARD_REEL_BOOM_BOX	SHARD_UNTESTED_JETPACK,SHARD_UNTESTED_JETPACK,SHARD_RING_OF_THE_SQUIRREL,SHARD_RING_OF_THE_SQUIRREL,SHARD_RING_OF_THE_SQUIRREL,SHARD_RING_OF_THE_SQUIRREL
17-15	115	5	ORANGE_4	14	1	910	DOPPELGANGER,NPC_BUFF_SPRITE,STOWAWAY,UNSTABLE_UNDERSTUDY,CRIMSON_WITCH,BANSHEE	NPC_SHARK,NPC_HEAD_CRAB,DRUIDINATRIX,RABID_DRAGON,MINOTAUR,GENIE	NPC_LYING_LANTERN,NPC_HEAD_CRAB,NPC_CLOUD_MONSTER,RAGING_REVENANT,VULTURE_DRAGON,[boss]SILENT_SPIRIT	SHARD_REEL_IVY_LEAGUE_HAIRCUT,SHARD_LENSLESS_GLASSES,SHARD_REEL_UPHOLSTERED_THRONE	SHARD_LENSLESS_GLASSES,SHARD_LENSLESS_GLASSES,SHARD_REEL_IVY_LEAGUE_HAIRCUT,SHARD_REEL_IVY_LEAGUE_HAIRCUT,SHARD_REEL_IVY_LEAGUE_HAIRCUT,SHARD_REEL_IVY_LEAGUE_HAIRCUT
17-18	115	5	ORANGE_4	14	1	916	NPC_LYING_LANTERN,NPC_LYING_LANTERN,NPC_CLOUD_MONSTER,STOWAWAY,PIRATE,BANSHEE	NPC_SQUID,NPC_SHARK,NPC_CLOUD_MONSTER,NPC_LYING_LANTERN,AQUATIC_MAN,KRAKEN_KING	NPC_LYING_LANTERN,SKELETON_KING,BONE_DRAGON,SILENT_SPIRIT,RAGING_REVENANT,[boss]SPECTRAL_DRAGON	SHARD_EXTREME_FAD_DIET,SHARD_ROLL_OF_DUCT_TAPE,SHARD_REEL_SHOES_OF_THE_MAD_GOD	SHARD_ROLL_OF_DUCT_TAPE,SHARD_ROLL_OF_DUCT_TAPE,SHARD_EXTREME_FAD_DIET,SHARD_EXTREME_FAD_DIET,SHARD_EXTREME_FAD_DIET,SHARD_EXTREME_FAD_DIET
