	HERO	BONUS	MAGNITUDE
505	SADISTIC_DANCER	MAGIC_POWER	0.108*(6S-2+(2^S)+(L+(L>14)*2)*S)
506	SADISTIC_DANCER	INTELLECT	0.054*(6S-2+(2^S)+(L+(L>14)*2)*S)
507	SADISTIC_DANCER	STARTING_ENERGY	0.9*(6S-2+(2^S)+(L+(L>14)*2)*S)
508	SADISTIC_DANCER	COOLDOWN_REDUCTION	0.0015*(6S-2+(2^S)+(L+(L>14)*2)*S)
509	SADISTIC_DANCER	DODGE	0.18*(6S-2+(2^S)+(L+(L>14)*2)*S)
510	SNAPPER_BONE	STRENGTH	0.036*(6S-2+(2^S)+(L+(L>14)*2)*S)
511	SNAPPER_BONE	MAX_HP	0.54*(6S-2+(2^S)+(L+(L>14)*2)*S)
512	SNAPPER_BONE	MAGIC_RESISTANCE	0.03*(6S-2+(2^S)+(L+(L>14)*2)*S)
513	SNAPPER_BONE	ACCURACY	0.3*(6S-2+(2^S)+(L+(L>14)*2)*S)
514	SNAPPER_BONE	ARMOR	0.03*(6S-2+(2^S)+(L+(L>14)*2)*S)
515	SNAPPER_BONE	SKILL_LEVEL	0.09*(6S-2+(2^S)+(L+(L>14)*2)*S)
516	WHITE_TIGRESS	AGILITY	0.0495*(6S-2+(2^S)+(L+(L>14)*2)*S)
517	WHITE_TIGRESS	ELECTRICAL_DMG_AMP	0.0021*(6S-2+(2^S)+(L+(L>14)*2)*S)
518	WHITE_TIGRESS	ATTACK_DAMAGE	0.054*(6S-2+(2^S)+(L+(L>14)*2)*S)
519	WHITE_TIGRESS	ACCURACY	0.3*(6S-2+(2^S)+(L+(L>14)*2)*S)
520	WHITE_TIGRESS	DODGE	0.18*(6S-2+(2^S)+(L+(L>14)*2)*S)
521	WHITE_TIGRESS	ATTACK_SPEED_MODIFIER	0.00072*(6S-2+(2^S)+(L+(L>14)*2)*S)
522	VERMILION_PRIESTESS	INTELLECT	0.054*(6S-2+(2^S)+(L+(L>14)*2)*S)
523	VERMILION_PRIESTESS	MAX_HP	0.54*(6S-2+(2^S)+(L+(L>14)*2)*S)
524	VERMILION_PRIESTESS	IGNORE_MAGIC_RESISTANCE	0.015*(6S-2+(2^S)+(L+(L>14)*2)*S)
525	VERMILION_PRIESTESS	STARTING_ENERGY	0.9*(6S-2+(2^S)+(L+(L>14)*2)*S)
526	VERMILION_PRIESTESS	DODGE	0.18*(6S-2+(2^S)+(L+(L>14)*2)*S)
527	VERMILION_PRIESTESS	COOLDOWN_REDUCTION	0.0015*(6S-2+(2^S)+(L+(L>14)*2)*S)
528	PCH_ANUBIS_DRAGON	INTELLECT	0.054*(6S-2+(2^S)+(L+(L>14)*2)*S)
529	PCH_ANUBIS_DRAGON	LONGER_DISABLES	0.0042*(6S-2+(2^S)+(L+(L>14)*2)*S)
530	PCH_ANUBIS_DRAGON	ACCURACY	0.3*(6S-2+(2^S)+(L+(L>14)*2)*S)
531	PCH_ANUBIS_DRAGON	NECROTIC_DMG_AMP	0.0021*(6S-2+(2^S)+(L+(L>14)*2)*S)
532	PCH_ANUBIS_DRAGON	IMPROVE_HEALING	0.03*(6S-2+(2^S)+(L+(L>14)*2)*S)
533	PCH_ANUBIS_DRAGON	MAGIC_RESISTANCE	0.03*(6S-2+(2^S)+(L+(L>14)*2)*S)
534	ABYSS_DRAGON	AGILITY	0.0495*(6S-2+(2^S)+(L+(L>14)*2)*S)
535	ABYSS_DRAGON	LONGER_DISABLES	0.0042*(6S-2+(2^S)+(L+(L>14)*2)*S)
536	ABYSS_DRAGON	DODGE	0.18*(6S-2+(2^S)+(L+(L>14)*2)*S)
537	ABYSS_DRAGON	ACCURACY	0.3*(6S-2+(2^S)+(L+(L>14)*2)*S)
538	ABYSS_DRAGON	STARTING_ENERGY	0.9*(6S-2+(2^S)+(L+(L>14)*2)*S)
539	ABYSS_DRAGON	MAX_HP	0.54*(6S-2+(2^S)+(L+(L>14)*2)*S)
540	UMLAUT_THE_FIRST	AGILITY	0.0495*(6S-2+(2^S)+(L+(L>14)*2)*S)
541	UMLAUT_THE_FIRST	MAX_HP	0.54*(6S-2+(2^S)+(L+(L>14)*2)*S)
542	UMLAUT_THE_FIRST	ARMOR	0.03*(6S-2+(2^S)+(L+(L>14)*2)*S)
543	UMLAUT_THE_FIRST	MAGIC_RESISTANCE	0.03*(6S-2+(2^S)+(L+(L>14)*2)*S)
544	UMLAUT_THE_FIRST	LONGER_DISABLES	0.0042*(6S-2+(2^S)+(L+(L>14)*2)*S)
545	UMLAUT_THE_FIRST	DODGE	0.18*(6S-2+(2^S)+(L+(L>14)*2)*S)
546	CLAW_MAN	STRENGTH	0.036*(6S-2+(2^S)+(L+(L>14)*2)*S)
547	CLAW_MAN	MAX_HP	0.54*(6S-2+(2^S)+(L+(L>14)*2)*S)
548	CLAW_MAN	MAGIC_RESISTANCE	0.03*(6S-2+(2^S)+(L+(L>14)*2)*S)
549	CLAW_MAN	DODGE	0.18*(6S-2+(2^S)+(L+(L>14)*2)*S)
550	CLAW_MAN	ARMOR	0.03*(6S-2+(2^S)+(L+(L>14)*2)*S)
551	CLAW_MAN	STARTING_ENERGY	0.9*(6S-2+(2^S)+(L+(L>14)*2)*S)
552	DARK_HERO	INTELLECT	0.054*(6S-2+(2^S)+(L+(L>14)*2)*S)
553	DARK_HERO	MAGIC_POWER	0.108*(6S-2+(2^S)+(L+(L>14)*2)*S)
554	DARK_HERO	COOLDOWN_REDUCTION	0.0015*(6S-2+(2^S)+(L+(L>14)*2)*S)
555	DARK_HERO	ARMOR	0.03*(6S-2+(2^S)+(L+(L>14)*2)*S)
556	DARK_HERO	ATTACK_SPEED_MODIFIER	0.00072*(6S-2+(2^S)+(L+(L>14)*2)*S)
557	DARK_HERO	DODGE	0.18*(6S-2+(2^S)+(L+(L>14)*2)*S)
