	01/10/2019	01/07/2019	01/01/2019	12/26/2018	12/25/2018	12/17/2018	12/01/2018	11/27/2018	11/26/2018	11/19/2018	11/15/2018	11/13/2018	11/12/2018	11/08/2018	11/05/2018	11/01/2018	10/30/2018	10/29/2018	10/11/2018	10/08/2018	10/01/2018	09/24/2018	09/19/2018	09/17/2018	09/12/2018	09/01/2018	08/30/2018	08/27/2018	08/16/2018	08/13/2018	08/02/2018	08/01/2018	07/19/2018	07/16/2018	07/09/2018	07/05/2018	07/02/2018	07/01/2018	06/11/2018	06/06/2018	06/04/2018	06/01/2018	05/24/2018	05/21/2018	05/14/2018	05/10/2018	05/07/2018	05/01/2018	04/26/2018	04/23/2018	04/16/2018	04/12/2018	04/09/2018	04/01/2018	03/29/2018	03/26/2018	03/15/2018	03/12/2018	03/01/2018	02/26/2018	02/15/2018	02/12/2018	02/01/2018	01/29/2018	01/18/2018	01/16/2018	01/15/2018	01/04/2018	01/01/2018	12/21/2017	12/18/2017	12/07/2017	12/05/2017	12/04/2017	12/01/2017	11/23/2017	11/20/2017	11/09/2017	11/06/2017	11/01/2017	10/24/2017	10/19/2017	10/16/2017	10/05/2017	10/02/2017	10/01/2017	09/28/2017	09/25/2017	09/14/2017	09/12/2017	09/11/2017	09/01/2017	08/31/2017	08/28/2017	08/17/2017	08/14/2017	08/10/2017	08/08/2017	08/07/2017	08/03/2017	08/01/2017	07/31/2017	07/20/2017	07/17/2017	07/13/2017	07/10/2017	07/06/2017	07/04/2017	07/03/2017	07/01/2017	06/27/2017	06/22/2017	06/19/2017	06/15/2017	06/12/2017	06/09/2017	06/07/2017	06/06/2017	06/01/2017	05/11/2017	05/02/2017	05/01/2017
GUILD_STORE$1	STOWAWAY	STOWAWAY	STOWAWAY	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	BURNT_ONE	BURNT_ONE	BURNT_ONE	BURNT_ONE	BURNT_ONE	BURNT_ONE	BURNT_ONE	BURNT_ONE	BURNT_ONE	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	CRIMSON_WITCH	CRIMSON_WITCH	CRIMSON_WITCH	CRIMSON_WITCH	CRIMSON_WITCH	ELECTROYETI	ELECTROYETI	ELECTROYETI	ELECTROYETI	ELECTROYETI	ELECTROYETI	PLANT_SOUL	PLANT_SOUL	PLANT_SOUL	PLANT_SOUL	PLANT_SOUL	PLANT_SOUL	ETERNAL_ENCHANTER	ETERNAL_ENCHANTER	ETERNAL_ENCHANTER	ETERNAL_ENCHANTER	DEEP_DRAGON	DEEP_DRAGON	DEEP_DRAGON	DEEP_DRAGON	DEEP_DRAGON	DEEP_DRAGON	DWARVEN_ARCHER	DWARVEN_ARCHER	DWARVEN_ARCHER	DWARVEN_ARCHER	DWARVEN_ARCHER	DWARVEN_ARCHER	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	NINJA_DWARF	NINJA_DWARF	NINJA_DWARF	NINJA_DWARF	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	SPIKEY_DRAGON	SPIKEY_DRAGON	SPIKEY_DRAGON	SPIKEY_DRAGON	SPIKEY_DRAGON	SPIKEY_DRAGON	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	ROLLER_WARRIOR	ROLLER_WARRIOR	ROLLER_WARRIOR	ROLLER_WARRIOR	ROLLER_WARRIOR	ROLLER_WARRIOR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	ORC_MONK	ORC_MONK	ORC_MONK	ORC_MONK	ORC_MONK	ORC_MONK	ORC_MONK	ORC_MONK	ORC_MONK	ORC_MONK	ORC_MONK	ORC_MONK	ORC_MONK	ORC_MONK	ORC_MONK	ORC_MONK	ORC_MONK	ORC_MONK	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID
GUILD_STORE$2	MAGIC_DRAGON	MAGIC_DRAGON	MAGIC_DRAGON	AQUATIC_MAN	AQUATIC_MAN	AQUATIC_MAN	AQUATIC_MAN	ZOMBIE_SQUIRE	ZOMBIE_SQUIRE	ZOMBIE_SQUIRE	ZOMBIE_SQUIRE	ZOMBIE_SQUIRE	ZOMBIE_SQUIRE	ZOMBIE_SQUIRE	ZOMBIE_SQUIRE	ZOMBIE_SQUIRE	FROST_GIANT	FROST_GIANT	FROST_GIANT	FROST_GIANT	FROST_GIANT	DRUIDINATRIX	DRUIDINATRIX	DRUIDINATRIX	DRUIDINATRIX	DRUIDINATRIX	SHADOW_OF_SVEN	SHADOW_OF_SVEN	SHADOW_OF_SVEN	SHADOW_OF_SVEN	SHADOW_OF_SVEN	SHADOW_OF_SVEN	CENTAUR_OF_ATTENTION	CENTAUR_OF_ATTENTION	CENTAUR_OF_ATTENTION	CENTAUR_OF_ATTENTION	CENTAUR_OF_ATTENTION	CENTAUR_OF_ATTENTION	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	DEMON_TOTEM	DEMON_TOTEM	DEMON_TOTEM	DEMON_TOTEM	DEMON_TOTEM	DEMON_TOTEM	SPIKEY_DRAGON	SPIKEY_DRAGON	SPIKEY_DRAGON	SPIKEY_DRAGON	SPIKEY_DRAGON	SPIKEY_DRAGON	PIRATE	PIRATE	PIRATE	PIRATE	PIRATE	SATYR	SATYR	SATYR	SATYR	STOWAWAY	STOWAWAY	STOWAWAY	STOWAWAY	STOWAWAY	STOWAWAY	VULTURE_DRAGON	VULTURE_DRAGON	VULTURE_DRAGON	VULTURE_DRAGON	VULTURE_DRAGON	VULTURE_DRAGON	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	MAGIC_DRAGON	MAGIC_DRAGON	MAGIC_DRAGON	MAGIC_DRAGON	MAGIC_DRAGON	MAGIC_DRAGON	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	AQUATIC_MAN	AQUATIC_MAN	AQUATIC_MAN	AQUATIC_MAN	AQUATIC_MAN	AQUATIC_MAN	AQUATIC_MAN	AQUATIC_MAN	AQUATIC_MAN	CRIMSON_WITCH	CRIMSON_WITCH	CRIMSON_WITCH	CRIMSON_WITCH	CRIMSON_WITCH	CRIMSON_WITCH	CRIMSON_WITCH	CRIMSON_WITCH	CRIMSON_WITCH	FROST_GIANT	FROST_GIANT	FROST_GIANT	FROST_GIANT	FROST_GIANT	FROST_GIANT	FROST_GIANT	FROST_GIANT	FROST_GIANT	FROST_GIANT	FROST_GIANT	FROST_GIANT
EXPEDITION$0	DUNGEON_MAN	DUNGEON_MAN	DUNGEON_MAN	BULWARK_ANGEL	BULWARK_ANGEL	BULWARK_ANGEL	BULWARK_ANGEL	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MAGIC_DRAGON	MAGIC_DRAGON	MAGIC_DRAGON	MAGIC_DRAGON	MAGIC_DRAGON	SNAP_DRAGON	SNAP_DRAGON	SNAP_DRAGON	SNAP_DRAGON	SNAP_DRAGON	SNAP_DRAGON	DWARVEN_ARCHER	DWARVEN_ARCHER	DWARVEN_ARCHER	DWARVEN_ARCHER	DWARVEN_ARCHER	DWARVEN_ARCHER	SPECTRAL_DRAGON	SPECTRAL_DRAGON	SPECTRAL_DRAGON	SPECTRAL_DRAGON	NINJA_DWARF	NINJA_DWARF	NINJA_DWARF	NINJA_DWARF	NINJA_DWARF	NINJA_DWARF	SPIDER_QUEEN	SPIDER_QUEEN	SPIDER_QUEEN	SPIDER_QUEEN	SPIDER_QUEEN	SPIDER_QUEEN	WEREDRAGON	WEREDRAGON	WEREDRAGON	WEREDRAGON	WEREDRAGON	FROST_GIANT	FROST_GIANT	FROST_GIANT	FROST_GIANT	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	MEDUSA	MEDUSA	MEDUSA	MEDUSA	MEDUSA	MEDUSA	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	BARDBARIAN	BARDBARIAN	BARDBARIAN	BARDBARIAN	BARDBARIAN	BARDBARIAN	BARDBARIAN	BARDBARIAN	BARDBARIAN	MEDUSA	MEDUSA	MEDUSA	MEDUSA	MEDUSA	MEDUSA	MEDUSA	MEDUSA	MEDUSA	MEDUSA	MEDUSA	MEDUSA	MEDUSA	MEDUSA	MEDUSA	MEDUSA	MEDUSA	MEDUSA	MEDUSA	MEDUSA	MEDUSA
EXPEDITION$1	TOMB_ANGEL	TOMB_ANGEL	TOMB_ANGEL	ETERNAL_ENCHANTER	ETERNAL_ENCHANTER	ETERNAL_ENCHANTER	ETERNAL_ENCHANTER	DEMON_TOTEM	DEMON_TOTEM	DEMON_TOTEM	DEMON_TOTEM	DEMON_TOTEM	DEMON_TOTEM	DEMON_TOTEM	DEMON_TOTEM	DEMON_TOTEM	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	RAGING_REVENANT	RAGING_REVENANT	RAGING_REVENANT	RAGING_REVENANT	RAGING_REVENANT	RAGING_REVENANT	CURSED_STATUE	CURSED_STATUE	CURSED_STATUE	CURSED_STATUE	CURSED_STATUE	CURSED_STATUE	WEREDRAGON	WEREDRAGON	WEREDRAGON	WEREDRAGON	DUNGEON_MAN	DUNGEON_MAN	DUNGEON_MAN	DUNGEON_MAN	DUNGEON_MAN	DUNGEON_MAN	VULTURE_DRAGON	VULTURE_DRAGON	VULTURE_DRAGON	VULTURE_DRAGON	VULTURE_DRAGON	VULTURE_DRAGON	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	DEMON_TOTEM	DEMON_TOTEM	DEMON_TOTEM	DEMON_TOTEM	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	STORM_DRAGON	STORM_DRAGON	STORM_DRAGON	STORM_DRAGON	STORM_DRAGON	STORM_DRAGON	FROST_GIANT	FROST_GIANT	FROST_GIANT	FROST_GIANT	FROST_GIANT	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	UNSTABLE_UNDERSTUDY	UNSTABLE_UNDERSTUDY	UNSTABLE_UNDERSTUDY	UNSTABLE_UNDERSTUDY	UNSTABLE_UNDERSTUDY	UNSTABLE_UNDERSTUDY	SPIDER_QUEEN	SPIDER_QUEEN	SPIDER_QUEEN	SPIDER_QUEEN	SPIDER_QUEEN	SPIDER_QUEEN	SPIDER_QUEEN	SPIDER_QUEEN	SPIDER_QUEEN	SPIDER_QUEEN	SPIDER_QUEEN	SPIDER_QUEEN	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	ROLLER_WARRIOR	ROLLER_WARRIOR	ROLLER_WARRIOR
EXPEDITION$2	MISTRESS_MANICURE	MISTRESS_MANICURE	MISTRESS_MANICURE	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	PIRATE	PIRATE	PIRATE	PIRATE	PIRATE	PIRATE	PIRATE	PIRATE	PIRATE	PLAGUE_ENTREPRENEUR	PLAGUE_ENTREPRENEUR	PLAGUE_ENTREPRENEUR	PLAGUE_ENTREPRENEUR	PLAGUE_ENTREPRENEUR	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	VULTURE_DRAGON	VULTURE_DRAGON	VULTURE_DRAGON	VULTURE_DRAGON	VULTURE_DRAGON	VULTURE_DRAGON	PLAGUE_ENTREPRENEUR	PLAGUE_ENTREPRENEUR	PLAGUE_ENTREPRENEUR	PLAGUE_ENTREPRENEUR	PLAGUE_ENTREPRENEUR	PLAGUE_ENTREPRENEUR	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	DARK_HORSE	DARK_HORSE	DARK_HORSE	DARK_HORSE	DARK_HORSE	DARK_HORSE	DRUIDINATRIX	DRUIDINATRIX	DRUIDINATRIX	DRUIDINATRIX	DRUIDINATRIX	ELECTROYETI	ELECTROYETI	ELECTROYETI	ELECTROYETI	VULTURE_DRAGON	VULTURE_DRAGON	VULTURE_DRAGON	VULTURE_DRAGON	VULTURE_DRAGON	VULTURE_DRAGON	PIRATE	PIRATE	PIRATE	PIRATE	PIRATE	PIRATE	RABID_DRAGON	RABID_DRAGON	RABID_DRAGON	RABID_DRAGON	RABID_DRAGON	ELECTROYETI	ELECTROYETI	ELECTROYETI	ELECTROYETI	ELECTROYETI	ELECTROYETI	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	CENTAUR_OF_ATTENTION	CENTAUR_OF_ATTENTION	CENTAUR_OF_ATTENTION	CENTAUR_OF_ATTENTION	CENTAUR_OF_ATTENTION	CENTAUR_OF_ATTENTION	CENTAUR_OF_ATTENTION	CENTAUR_OF_ATTENTION	CENTAUR_OF_ATTENTION	STORM_DRAGON	STORM_DRAGON	STORM_DRAGON	STORM_DRAGON	STORM_DRAGON	STORM_DRAGON	STORM_DRAGON	STORM_DRAGON	STORM_DRAGON	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT			
COLISEUM$0	ELECTROYETI	ELECTROYETI	ELECTROYETI	DARK_HORSE	DARK_HORSE	DARK_HORSE	DARK_HORSE	UNRIPE_MYTHOLOGY	UNRIPE_MYTHOLOGY	UNRIPE_MYTHOLOGY	UNRIPE_MYTHOLOGY	UNRIPE_MYTHOLOGY	UNRIPE_MYTHOLOGY	UNRIPE_MYTHOLOGY	UNRIPE_MYTHOLOGY	UNRIPE_MYTHOLOGY	ORC_MONK	ORC_MONK	ORC_MONK	ORC_MONK	ORC_MONK	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	STOWAWAY	STOWAWAY	STOWAWAY	STOWAWAY	STOWAWAY	STOWAWAY	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	CRIMSON_WITCH	CRIMSON_WITCH	CRIMSON_WITCH	CRIMSON_WITCH	VILE_BILE	VILE_BILE	VILE_BILE	VILE_BILE	VILE_BILE	VILE_BILE	SILENT_SPIRIT	SILENT_SPIRIT	SILENT_SPIRIT	SILENT_SPIRIT	SILENT_SPIRIT	SILENT_SPIRIT	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	KRAKEN_KING	KRAKEN_KING	KRAKEN_KING	KRAKEN_KING	SHADOW_ASSASSIN	SHADOW_ASSASSIN	SHADOW_ASSASSIN	SHADOW_ASSASSIN	SHADOW_ASSASSIN	SHADOW_ASSASSIN	CURSED_STATUE	CURSED_STATUE	CURSED_STATUE	CURSED_STATUE	CURSED_STATUE	CURSED_STATUE	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	DWARVEN_ARCHER	DWARVEN_ARCHER	DWARVEN_ARCHER	DWARVEN_ARCHER	DWARVEN_ARCHER	DWARVEN_ARCHER	NINJA_DWARF	NINJA_DWARF	NINJA_DWARF	NINJA_DWARF	NINJA_DWARF	NINJA_DWARF	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	DWARVEN_ARCHER	DWARVEN_ARCHER	DWARVEN_ARCHER	DWARVEN_ARCHER	DWARVEN_ARCHER	DWARVEN_ARCHER	DWARVEN_ARCHER	DWARVEN_ARCHER	DWARVEN_ARCHER	DWARVEN_ARCHER	DWARVEN_ARCHER	DWARVEN_ARCHER	DWARVEN_ARCHER	DWARVEN_ARCHER	DWARVEN_ARCHER	DWARVEN_ARCHER	DWARVEN_ARCHER	DWARVEN_ARCHER	NINJA_DWARF	NINJA_DWARF	NINJA_DWARF
COLISEUM$1	CENTAUR_OF_ATTENTION	CENTAUR_OF_ATTENTION	CENTAUR_OF_ATTENTION	KARAOKE_KING	KARAOKE_KING	KARAOKE_KING	KARAOKE_KING	KRAKEN_KING	KRAKEN_KING	KRAKEN_KING	KRAKEN_KING	KRAKEN_KING	KRAKEN_KING	KRAKEN_KING	KRAKEN_KING	KRAKEN_KING	POLEMASTER	POLEMASTER	POLEMASTER	POLEMASTER	POLEMASTER	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	KARAOKE_KING	KARAOKE_KING	KARAOKE_KING	KARAOKE_KING	KARAOKE_KING	KARAOKE_KING	UNSTABLE_UNDERSTUDY	UNSTABLE_UNDERSTUDY	UNSTABLE_UNDERSTUDY	UNSTABLE_UNDERSTUDY	UNSTABLE_UNDERSTUDY	UNSTABLE_UNDERSTUDY	BROZERKER	BROZERKER	BROZERKER	BROZERKER	RABID_DRAGON	RABID_DRAGON	RABID_DRAGON	RABID_DRAGON	RABID_DRAGON	RABID_DRAGON	SHADOW_ASSASSIN	SHADOW_ASSASSIN	SHADOW_ASSASSIN	SHADOW_ASSASSIN	SHADOW_ASSASSIN	SHADOW_ASSASSIN	BONE_DRAGON	BONE_DRAGON	BONE_DRAGON	BONE_DRAGON	BONE_DRAGON	DEEP_DRAGON	DEEP_DRAGON	DEEP_DRAGON	DEEP_DRAGON	RABID_DRAGON	RABID_DRAGON	RABID_DRAGON	RABID_DRAGON	RABID_DRAGON	RABID_DRAGON	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	SNAP_DRAGON	SNAP_DRAGON	SNAP_DRAGON	SNAP_DRAGON	SNAP_DRAGON	SNAP_DRAGON	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	NINJA_DWARF	NINJA_DWARF	NINJA_DWARF	NINJA_DWARF	NINJA_DWARF	NINJA_DWARF	NINJA_DWARF	NINJA_DWARF	NINJA_DWARF	NINJA_DWARF	NINJA_DWARF	NINJA_DWARF	NINJA_DWARF	NINJA_DWARF	NINJA_DWARF	NINJA_DWARF	NINJA_DWARF	NINJA_DWARF	CRIMSON_WITCH	CRIMSON_WITCH	CRIMSON_WITCH
COLISEUM$2	SUN_SEEKER	SUN_SEEKER	SUN_SEEKER	DOPPELGANGER	DOPPELGANGER	DOPPELGANGER	DOPPELGANGER	DEEP_DRAGON	DEEP_DRAGON	DEEP_DRAGON	DEEP_DRAGON	DEEP_DRAGON	DEEP_DRAGON	DEEP_DRAGON	DEEP_DRAGON	DEEP_DRAGON	SUN_SEEKER	SUN_SEEKER	SUN_SEEKER	SUN_SEEKER	SUN_SEEKER	ANGELIC_HERALD	ANGELIC_HERALD	ANGELIC_HERALD	ANGELIC_HERALD	ANGELIC_HERALD	SHADOW_ASSASSIN	SHADOW_ASSASSIN	SHADOW_ASSASSIN	SHADOW_ASSASSIN	SHADOW_ASSASSIN	SHADOW_ASSASSIN	SOJOURNER_SORCERESS	SOJOURNER_SORCERESS	SOJOURNER_SORCERESS	SOJOURNER_SORCERESS	SOJOURNER_SORCERESS	SOJOURNER_SORCERESS	MAGIC_DRAGON	MAGIC_DRAGON	MAGIC_DRAGON	MAGIC_DRAGON	DOPPELGANGER	DOPPELGANGER	DOPPELGANGER	DOPPELGANGER	DOPPELGANGER	DOPPELGANGER	SNAP_DRAGON	SNAP_DRAGON	SNAP_DRAGON	SNAP_DRAGON	SNAP_DRAGON	SNAP_DRAGON	TOMB_ANGEL	TOMB_ANGEL	TOMB_ANGEL	TOMB_ANGEL	TOMB_ANGEL	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	MAGIC_DRAGON	MAGIC_DRAGON	MAGIC_DRAGON	MAGIC_DRAGON	MAGIC_DRAGON	MAGIC_DRAGON	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	SKELETON_KING	SKELETON_KING	SKELETON_KING	SKELETON_KING	SKELETON_KING	SKELETON_KING	DOPPELGANGER	DOPPELGANGER	DOPPELGANGER	DOPPELGANGER	DOPPELGANGER	DOPPELGANGER	PIRATE	PIRATE	PIRATE	PIRATE	PIRATE	PIRATE	PIRATE	PIRATE	PIRATE	DRUIDINATRIX	DRUIDINATRIX	DRUIDINATRIX	DRUIDINATRIX	DRUIDINATRIX	DRUIDINATRIX	DRUIDINATRIX	DRUIDINATRIX	DRUIDINATRIX	ZOMBIE_SQUIRE	ZOMBIE_SQUIRE	ZOMBIE_SQUIRE	ZOMBIE_SQUIRE	ZOMBIE_SQUIRE	ZOMBIE_SQUIRE	ZOMBIE_SQUIRE	ZOMBIE_SQUIRE	ZOMBIE_SQUIRE	ORC_MONK	ORC_MONK	ORC_MONK
WAR$0	FROST_GIANT	FROST_GIANT	FROST_GIANT	DWARVEN_ARCHER	DWARVEN_ARCHER	DWARVEN_ARCHER	DWARVEN_ARCHER	UNSTABLE_UNDERSTUDY	UNSTABLE_UNDERSTUDY	UNSTABLE_UNDERSTUDY	UNSTABLE_UNDERSTUDY	UNSTABLE_UNDERSTUDY	UNSTABLE_UNDERSTUDY	UNSTABLE_UNDERSTUDY	UNSTABLE_UNDERSTUDY	UNSTABLE_UNDERSTUDY	STORM_DRAGON	STORM_DRAGON	STORM_DRAGON	STORM_DRAGON	STORM_DRAGON	NINJA_DWARF	NINJA_DWARF	NINJA_DWARF	NINJA_DWARF	NINJA_DWARF	GENIE	GENIE	GENIE	GENIE	GENIE	GENIE	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	STORM_DRAGON	STORM_DRAGON	STORM_DRAGON	STORM_DRAGON	POLEMASTER	POLEMASTER	POLEMASTER	POLEMASTER	POLEMASTER	POLEMASTER	GENIE	GENIE	GENIE	GENIE	GENIE	GENIE	MAGIC_DRAGON	MAGIC_DRAGON	MAGIC_DRAGON	MAGIC_DRAGON	MAGIC_DRAGON	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	RAGING_REVENANT	RAGING_REVENANT	RAGING_REVENANT	RAGING_REVENANT	RAGING_REVENANT	RAGING_REVENANT	SKELETON_KING	SKELETON_KING	SKELETON_KING	SKELETON_KING	SKELETON_KING	SKELETON_KING	DARK_HORSE	DARK_HORSE	DARK_HORSE	DARK_HORSE	DARK_HORSE	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	UNICORGI	UNICORGI	UNICORGI
WAR$1	RAGING_REVENANT	RAGING_REVENANT	RAGING_REVENANT	BROZERKER	BROZERKER	BROZERKER	BROZERKER	CURSED_STATUE	CURSED_STATUE	CURSED_STATUE	CURSED_STATUE	CURSED_STATUE	CURSED_STATUE	CURSED_STATUE	CURSED_STATUE	CURSED_STATUE	RABID_DRAGON	RABID_DRAGON	RABID_DRAGON	RABID_DRAGON	RABID_DRAGON	ETERNAL_ENCHANTER	ETERNAL_ENCHANTER	ETERNAL_ENCHANTER	ETERNAL_ENCHANTER	ETERNAL_ENCHANTER	SPIKEY_DRAGON	SPIKEY_DRAGON	SPIKEY_DRAGON	SPIKEY_DRAGON	SPIKEY_DRAGON	SPIKEY_DRAGON	TOMB_ANGEL	TOMB_ANGEL	TOMB_ANGEL	TOMB_ANGEL	TOMB_ANGEL	TOMB_ANGEL	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	KRAKEN_KING	KRAKEN_KING	KRAKEN_KING	KRAKEN_KING	KRAKEN_KING	KRAKEN_KING	BANSHEE	BANSHEE	BANSHEE	BANSHEE	BANSHEE	BANSHEE	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	ROLLER_WARRIOR	ROLLER_WARRIOR	ROLLER_WARRIOR	ROLLER_WARRIOR	SILENT_SPIRIT	SILENT_SPIRIT	SILENT_SPIRIT	SILENT_SPIRIT	SILENT_SPIRIT	SILENT_SPIRIT	ELECTROYETI	ELECTROYETI	ELECTROYETI	ELECTROYETI	ELECTROYETI	ELECTROYETI	SNAP_DRAGON	SNAP_DRAGON	SNAP_DRAGON	SNAP_DRAGON	SNAP_DRAGON	DEEP_DRAGON	DEEP_DRAGON	DEEP_DRAGON	DEEP_DRAGON	DEEP_DRAGON	DEEP_DRAGON	SAVAGE_CUTIE	SAVAGE_CUTIE	SAVAGE_CUTIE	SAVAGE_CUTIE	SAVAGE_CUTIE	SAVAGE_CUTIE	SHADOW_ASSASSIN	SHADOW_ASSASSIN	SHADOW_ASSASSIN	SHADOW_ASSASSIN	SHADOW_ASSASSIN	SHADOW_ASSASSIN	SHADOW_ASSASSIN	SHADOW_ASSASSIN	SHADOW_ASSASSIN	SAVAGE_CUTIE	SAVAGE_CUTIE	SAVAGE_CUTIE	SAVAGE_CUTIE	SAVAGE_CUTIE	SAVAGE_CUTIE	SAVAGE_CUTIE	SAVAGE_CUTIE	SAVAGE_CUTIE	SAVAGE_CUTIE	SAVAGE_CUTIE	SAVAGE_CUTIE	SAVAGE_CUTIE	SAVAGE_CUTIE	SAVAGE_CUTIE	SAVAGE_CUTIE	SAVAGE_CUTIE	SAVAGE_CUTIE	MAGIC_DRAGON	MAGIC_DRAGON	MAGIC_DRAGON
