	CATEGORY	RARITY	REQUIRED_LEVEL	CONTENT_UPDATE	VEND_VALUE	GOLD_PRICE	DIAMOND_PRICE	FIGHT_PIT_TOKEN_PRICE	ENCHANT_POINTS	EXP_GIVEN	STRENGTH	INTELLECT	AGILITY	MAX_HP	ATTACK_DAMAGE	MAGIC_POWER	ARMOR	MAGIC_RESISTANCE	PHYSICAL_CRIT	MAGIC_CRIT	HP_REGEN	ENERGY_REGEN	LIFE_STEAL_RATING	DODGE	IGNORE_MAGIC_RESISTANCE	IMPROVE_HEALING	ARMOR_PENETRATION	ENERGY_CONSUMPTION_REDUCTION	TENACITY	ACCURACY	SKILL_LEVEL
REEL_SPUD_GUN	REEL	GREEN		R1	300	29,600	9	320	2																						
REEL_STEAM_ENGINE	REEL	CYAN		R2_17	390,000	3,900,000	750	2,250	4																						
REEL_SUNBLOCK_GOGGLES	REEL	CYAN		R2_18	780,000	7,800,000	1,200	5,145	4																						
REEL_SUPER_SPIKEY_SPEAR	REEL	PURPLE		R0_3	13,000	67,200	215	720	96																						
REEL_SWORD_OF_DESPAIR	REEL	CYAN		R2_16	214,000	2,155,000	600	4,400	4																						
REEL_TAROT_DECK_OF_HYPERBOLE	REEL	ORANGE		R2_3	62,500	557,500	275	2,280	100																						
REEL_TEN_FOOT_POLE	REEL	GREEN		R1	400	14,800	9	160	4																						
REEL_THE_1_RING	REEL	PURPLE		R0_3	10,000	75,400	215	640	112																						
REEL_THE_COMPENSATOR	REEL	BLUE		R1	6,500	134,500	80	420	44																						
REEL_THE_MAD_GODS_TRIDENT	REEL	BLUE		R1	2,500	91,800	80	300	32																						
REEL_THE_POWER_OF_MEDICINE	REEL	GREEN		R1	450	17,100	9	160	4																						
REEL_THE_SHIELD_STOPS_YOU	REEL	CYAN		R2_17	390,000	3,900,000	750	2,250	4																						
REEL_THE_SPEAR_BRINGS_VICTORY	REEL	RED		R2_21	780,000	7,800,000	1,200	4,200	200																						
REEL_THINKING_CAP	REEL	BLUE		R1	6,250	124,600	80	420	40																						
REEL_TIGER_SALVE	REEL	RED		R2_20	780,000	7,800,000	1,200	4,200	200																						
REEL_TIGER_UNDERWEAR	REEL	RED		R2_20	780,000	7,800,000	1,200	4,200	200																						
REEL_TOME_OF_CURSED_HORTICULTURE	REEL	CYAN		R2_15	366,000	3,675,000	750	6,480	200																						
REEL_TOME_OF_FORBIDDEN_TRIVIA	REEL	BLUE		R1	6,250	144,000	80	480	48																						
REEL_TRIASSIC_TRINKET	REEL	CYAN		R2_14	172,000	1,725,000	600	4,000	100																						
REEL_UNICORN_PUKE	REEL	ORANGE		R2_2	50,000	474,900	275	1,920	100																						
REEL_UPHOLSTERED_THRONE	REEL	ORANGE		R2_8	156,250	891,200	275	2,800	100																						
REEL_VAMPIRE_BUNNYEARS	REEL	GREEN		R1	150	28,500	9	280	2																						
REEL_WARRIORS_HELMET	REEL	RED		R2_20	780,000	7,800,000	1,200	4,200	200																						
REEL_WRAITH_BARRIER	REEL	CYAN		R2_16	210,000	2,110,000	600	4,400	4																						
REEL_YODELING_SWORD	REEL	ORANGE		R1_4	31,250	923,800	275	1,440	100																						
REMOTE_COMMUNICATION_FLOWER	GEAR	RED	152	R2_22	1,524,000	15,275,000	2,350	10,575	500			5	4	1																	
RING_OF_FIRE	GEAR	CYAN	132	R2_15	150,000	4,610,500	900	5,000	500						400												500				
RING_OF_ILL_WILL	GEAR	ORANGE	103	R2_6	100,000	2,194,000	275	3,250	100			60						75				150									
RING_OF_TEMPTATION	GEAR	CYAN	139	R2_16	174,000	5,384,500	1,300	5,500	500							1700	175							230							
RING_OF_THE_SQUIRREL	GEAR	PURPLE	77	R1_4	31,250	922,000	630	1,900	100		10														20						
RINGS_OF_A_FEATHER	GEAR	ORANGE	123	R2_13	100,000	3,730,000	830	4,250	500				500						40				180								2
ROBE_OF_SHARP_COMEBACKS	GEAR	BLUE	36	R1	3,500	94,000	105	500	36			10			22		5	5													
ROCKET_CLOAK	GEAR	CYAN	130	R2_14	288,000	8,670,000	1,700	9,565	500				900		200															200	
ROD_OF_BADASSERY	GEAR	BLUE	42	R1	1,600	149,000	170	655	54			25		325											5						
ROD_OF_TASING	GEAR	BLUE	35	R1	2,100	87,250	250	500	32		10	10	10	200					50	10											
ROD_OF_WITTY_PARTY_BANTER	GEAR	PURPLE	51	R0_3	9,425	267,000	295	855	120			25			30				75			100									
ROLL_OF_DUCT_TAPE	GEAR	ORANGE	92	R2_3	62,500	1,564,000	275	2,700	100					2000							2000										
RUBBER_VEST	GEAR	WHITE	2	R1	87	150	9	10	2								2														
RUBY_FLIP_FLOPS	GEAR	CYAN	129	R2_14	138,000	4,304,000	960	5,000	500				160	12000									200								
RUNICITE_BLOCK	TRASH	BLUE		R1_0	1,500	400,000	200	1,000																							
RUNICITE_MONOLITH	TRASH	ORANGE		R1_0	37,500	10,000,000	5,000	0																							
RUNICITE_SHARD	TRASH	WHITE		R1_0	60	16,000	8	100																							
RUNICITE_SLAB	TRASH	PURPLE		R1_0	7,500	2,000,000	1000	5,000																							
RUNICITE_STONE	TRASH	GREEN		R1_0	300	80,000	40	250																							
SACRED_CODEX	GEAR	BLUE	20	R1	2,500	16,500	80	200	10			10																			
SAMURAI_SWORD	GEAR	RED	154	R2_20	3,150,000	31,525,000	4,850	21,825	700		2100				1000												400				
SAND_STORM	GEAR	CYAN	149	R2_18	1,620,000	16,250,000	2,500	11,250	500					21000				100	600					350							
SANDWICH_OF_UNSURPASSED_MEATINESS	GEAR	PURPLE	63	R1_0	44,550	510,000	1,270	1,625	420		40			600							600										
SECRET_HAND_SCROLL	GEAR	RED	155	R2_20	3,150,000	31,525,000	4,850	20,785	700		1100	1100	1100						1500												5
SELF_PRESERVER	GEAR	ORANGE	82	R2_1	40,625	1,109,500	275	1,900	100		30						10														
SHARD_ADAMANTIUM_TIARA	SHARD	PURPLE		R0_2	525	11,200	15	40	5																						
SHARD_AGED_DRAGON_MILK	SHARD	ORANGE		R2_13	6,000	76,500	25	85	4																						
SHARD_ANCIENT_TOME_OF_OCCULT_NONSENSE	SHARD	ORANGE		R2_5	1,563	37,900	25	55	4																						
SHARD_AND_MY_AXE	SHARD	BLUE		R1	500	3,800	12	40	4																						
SHARD_ANTI_MAGIC_SHIELD	SHARD	ORANGE		R2_1	813	22,200	25	35	4																						
SHARD_AXE_OF_GRATUITOUS_GUITAR_SOLOS	SHARD	ORANGE		R2_2	1,000	26,500	25	45	4																						
SHARD_BOOK_OF_IRMAC	SHARD	CYAN		R2_16	10,000	104,000	25	110	4																						
SHARD_BOOTS_MADE_FOR_WALKIN	SHARD	PURPLE		R0_2	660	11,200	25	25	7																						
SHARD_BOWIE_KNIFE	SHARD	ORANGE		R2_2	1,000	27,500	25	45	4																						
SHARD_BUNNY_SLIPPERS	SHARD	PURPLE		R1_0	900	10,500	20	35	10																						
SHARD_CAT_O_NINE_TAILS	SHARD	CYAN		R2_14	8,000	82,000	25	90	4																						
SHARD_COSPLAY_SWORD	SHARD	ORANGE		R2_5	1,563	39,000	25	60	4																						
SHARD_CREATINE_CACTUS	SHARD	ORANGE		R2_10	6,000	67,600	25	85	4																						
SHARD_CRUDE_SNIPPERS	SHARD	CYAN		R2_14	8,000	84,000	25	95	4																						
SHARD_DEAD_EYE	SHARD	PURPLE		R1_3	500	15,100	25	30	4																						
SHARD_DEVILS_POT	SHARD	CYAN		R2_17	12,000	130,000	25	75	4																						
SHARD_DONT_TASE_ME_BOW	SHARD	BLUE		R1	800	6,400	12	70	9																						
SHARD_DOUBLE_AXE	SHARD	CYAN		R2_17	12,000	130,000	25	75	4																						
SHARD_DOUBLE_BLADED_SWORD	SHARD	ORANGE		R2_9	3,750	59,500	25	75	4																						
SHARD_DRAGON_BLANKIE	SHARD	CYAN		R2_15	8,000	94,000	25	100	4																						
SHARD_DRAGONS_POCKET_WATCH	SHARD	CYAN		R2_17	12,000	130,000	25	75	4																						
SHARD_EXTREME_FAD_DIET	SHARD	PURPLE		R1_4	625	18,500	25	35	4																						
SHARD_FAMILIAR_ENERGY_TANK	SHARD	CYAN		R2_17	12,000	130,000	25	75	4																						
SHARD_FOUR_D_GLASSES	SHARD	ORANGE		R2_6	2,000	43,900	25	65	4																						
SHARD_FRAMED_DIPLOMA	SHARD	PURPLE		R0_2	675	11,900	15	40	7																						
SHARD_GAUNTLET_OF_THRONE	SHARD	CYAN		R2_16	10,000	104,000	25	110	4																						
SHARD_GENTLEMENS_CLUB	SHARD	BLUE		R1	800	5,600	12	60	9																						
SHARD_GIANTS_GROG	SHARD	ORANGE		R2_13	6,000	76,500	25	85	4																						
SHARD_GOLDEN_SLINGSHOT	SHARD	CYAN		R2_14	8,000	82,000	25	90	4																						
SHARD_GROUND_GEARS	SHARD	ORANGE		R2_10	6,000	65,900	25	85	4																						
SHARD_HAROLDS_HOMEMADE_HALBERD	SHARD	PURPLE		R1_0	760	9,700	25	25	9																						
SHARD_HEAD_BANGER	SHARD	PURPLE		R0_2	600	12,600	15	45	6																						
SHARD_HEAL_AID	SHARD	ORANGE		R2_8	3,125	50,600	25	65	4																						
SHARD_HEALTHY_DOSE_OF_SKEPTICISM	SHARD	ORANGE		R2_2	1,000	26,500	25	45	4																						
SHARD_HEARTY_CHEST	SHARD	ORANGE		R2_9	3,750	57,900	25	75	4																						
SHARD_HELM_OF_THE_RAGING_BEAR	SHARD	ORANGE		R2_2	1,000	27,500	25	45	4																						
SHARD_HIGH_TEA	SHARD	PURPLE		R1_4	625	19,200	25	40	4																						
SHARD_IMPRACTICAL_CHESTPLATE	SHARD	BLUE		R1	700	4,300	12	50	8																						
SHARD_IRON_CLAWS	SHARD	CYAN		R2_18	10,000	104,000	20	68	4																						
SHARD_LAZARUS_BEANS	SHARD	CYAN		R2_16	10,000	102,000	25	110	4																						
SHARD_LENSLESS_GLASSES	SHARD	ORANGE		R2_3	1,250	31,300	25	50	4																						
SHARD_LIGER_BALM	SHARD	PURPLE		R1_3	500	15,700	25	30	4																						
SHARD_LIGHTNING_GREASE	SHARD	ORANGE		R2_8	3,125	52,000	25	65	4																						
SHARD_LITTLE_PRICKS	SHARD	ORANGE		R2_6	2,000	45,200	25	65	4																						
SHARD_LOST_CONCEPT_ART	SHARD	ORANGE		R2_8	3,125	52,000	25	65	4																						
SHARD_LOST_DISK_OF_POWER	SHARD	PURPLE		R1_3	500	15,700	25	30	4																						
SHARD_MACE_OF_FRIENDSHIP	SHARD	BLUE		R1	700	4,300	12	50	8																						
SHARD_MACGUFFIN_FRAGMENT_45	SHARD	ORANGE		R2_5	1,563	39,000	25	60	4																						
SHARD_MAD_GODS_MUG	SHARD	CYAN		R2_14	8,000	84,000	25	95	4																						
SHARD_MAGICAL_WATER_BOTTLE	SHARD	CYAN		R2_18	10,000	104,000	20	70	4																						
SHARD_MANLY_FIRST_AID_KIT	SHARD	CYAN		R2_15	8,000	92,000	25	100	4																						
SHARD_MUNDANE_MUSHROOMS	SHARD	ORANGE		R2_10	6,000	67,600	25	85	4																						
SHARD_MUSCLE_WAX	SHARD	BLUE		R1	500	3,300	12	40	4																						
SHARD_NAUGHTY_TAPESTRY	SHARD	CYAN		R2_15	8,000	92,000	25	100	4																						
SHARD_PETER_PIPERS_PEPPER_SPRAY	SHARD	PURPLE		R1_4	625	19,200	25	40	4																						
SHARD_PHAT_PANTS	SHARD	ORANGE		R2_8	3,125	50,600	25	65	4																						
SHARD_PHILTER_OF_PURE_TESTOSTERONE	SHARD	PURPLE		R1_0	640	8,800	20	20	7																						
SHARD_PHOENIX_TALISMAN	SHARD	CYAN		R2_16	10,000	102,000	25	110	4																						
SHARD_PHOTO_BOMB	SHARD	ORANGE		R2_1	813	23,100	25	40	4																						
SHARD_POISONED_DAGGER	SHARD	ORANGE		R2_13	6,000	74,600	25	85	4																						
SHARD_PRICKLING_WHIP	SHARD	CYAN		R2_18	10,000	104,000	20	85	4																						
SHARD_RACING_STRIPES	SHARD	BLUE		R1	500	3,300	12	40	4																						
SHARD_REEL_ADVENTURERS_RIDES	SHARD	CYAN		R2_17	12,000	130,000	25	45	4																						
SHARD_REEL_ANCIENT_CODE	SHARD	CYAN		R2_14	6,000	70,000	25	120	4																						
SHARD_REEL_ANCIENT_COIN	SHARD	RED		R2_21	10,000	104,000	20	70	5																						
SHARD_REEL_BALANCE_OF_LIFE	SHARD	CYAN		R2_18	10,000	104,000	20	70	4																						
SHARD_REEL_BANANA_PEEL_MOUNTAIN	SHARD	RED		R2_21	10,000	104,000	20	70	5																						
SHARD_REEL_BEARLY_THERE_BOOTS	SHARD	ORANGE		R2_9	3,750	19,900	25	60	4																						
SHARD_REEL_BIG_STABBY_SPEAR	SHARD	PURPLE		R1_2	180	9,200	25	20	2																						
SHARD_REEL_BLACKBERRY_JAM	SHARD	RED		R2_22	10,000	104,000	20	70	5																						
SHARD_REEL_BLACKSMITH_BREW	SHARD	CYAN		R2_14	6,000	70,000	25	120	4																						
SHARD_REEL_BLACKSTEEL_BLADE	SHARD	PURPLE		R1_3	500	14,700	25	25	4																						
SHARD_REEL_BLUNT_BLADE	SHARD	ORANGE		R2_13	2,000	26,100	25	70	4																						
SHARD_REEL_BONE_CRUSHING_PLIERS	SHARD	CYAN		R2_17	12,000	130,000	25	45	4																						
SHARD_REEL_BOOM_BOX	SHARD	ORANGE		R2_8	3,125	17,900	25	55	4																						
SHARD_REEL_BRACELET_OF_LIGHTNING	SHARD	CYAN		R2_16	8,000	82,000	25	140	4																						
SHARD_REEL_BRAIN_GUARD_9000	SHARD	ORANGE		R2_9	3,750	20,400	25	60	4																						
SHARD_REEL_BUNNY_BLADE	SHARD	CYAN		R2_15	2,000	38,000	25	80	4																						
SHARD_REEL_CHUGG_BOOTS	SHARD	PURPLE		R1_3	500	13,400	25	25	4																						
SHARD_REEL_CLOAK_OF_THE_OWL	SHARD	ORANGE		R2_10	2,000	22,600	25	65	4																						
SHARD_REEL_CLOUDY_MONOCULAR_TELESCOPE	SHARD	RED		R2_21	10,000	104,000	20	70	5																						
SHARD_REEL_COG_NITIVE_MASK	SHARD	CYAN		R2_15	4,000	40,000	25	80	4																						
SHARD_REEL_CRYSTAL_MUSHROOM	SHARD	RED		R2_22	10,000	104,000	20	70	5																						
SHARD_REEL_DANCERS_BRA	SHARD	CYAN		R2_18	10,000	104,000	20	75	4																						
SHARD_REEL_DEATH_METAL_BLADE	SHARD	BLUE		R1	100	30,900	12	95	10																						
SHARD_REEL_DECODER_RING	SHARD	BLUE		R1	850	15,700	12	70	4																						
SHARD_REEL_DEDICATED_BROZERKER	SHARD	RED		R2_21	20,000	208,000	40	140	9																						
SHARD_REEL_DEDICATED_CENTAUR_OF_ATTENTION	SHARD	RED		R2_20	20,000	208,000	40	140	9																						
SHARD_REEL_DEDICATED_COSMIC_ELF	SHARD	RED		R2_21	20,000	208,000	40	140	9																						
SHARD_REEL_DEDICATED_DEEP_DRAGON	SHARD	RED		R2_21	20,000	208,000	40	140	9																						
SHARD_REEL_DEDICATED_DEMON_TOTEM	SHARD	RED		R2_21	20,000	208,000	40	140	9																						
SHARD_REEL_DEDICATED_DRAGON_LADY	SHARD	RED		R2_20	20,000	208,000	40	140	9																						
SHARD_REEL_DEDICATED_GENIE	SHARD	RED		R2_20	20,000	208,000	40	140	9																						
SHARD_REEL_DEDICATED_MEDUSA	SHARD	RED		R2_20	20,000	208,000	40	140	9																						
SHARD_REEL_DEDICATED_NINJA_DWARF	SHARD	RED		R2_21	20,000	208,000	40	140	9																						
SHARD_REEL_DEDICATED_ORC_MONK	SHARD	RED		R2_21	20,000	208,000	40	140	9																						
SHARD_REEL_DEDICATED_ROLLER_WARRIOR	SHARD	RED		R2_21	20,000	208,000	40	140	9																						
SHARD_REEL_DEDICATED_SATYR	SHARD	RED		R2_20	20,000	208,000	40	140	9																						
SHARD_REEL_DEDICATED_SHADOW_ASSASSIN	SHARD	RED		R2_21	20,000	208,000	40	140	9																						
SHARD_REEL_DEDICATED_SNAP_DRAGON	SHARD	RED		R2_21	20,000	208,000	40	140	9																						
SHARD_REEL_DEDICATED_UNSTABLE_UNDERSTUDY	SHARD	RED		R2_21	20,000	208,000	40	140	9																						
SHARD_REEL_DENSE_CAKE_OF_HATE	SHARD	CYAN		R2_14	2,000	34,000	25	75	4																						
SHARD_REEL_DIPLOMATIC_IMMUNITY	SHARD	PURPLE		R0_3	180	12,800	15	40	4																						
SHARD_REEL_DIRK_OF_DISEMBOWELING	SHARD	PURPLE		R0_3	130	10,800	15	30	4																						
SHARD_REEL_DIRTY_BASTARD_SWORD	SHARD	ORANGE		R2_3	1,250	11,200	25	45	4																						
SHARD_REEL_DRACONIAN_DISH	SHARD	RED		R2_21	10,000	104,000	20	70	5																						
SHARD_REEL_DRAGON_LEATHER_TIGHTS	SHARD	CYAN		R2_17	12,000	130,000	25	45	4																						
SHARD_REEL_DRAGON_SAND_BOOTS	SHARD	CYAN		R2_18	10,000	104,000	20	65	4																						
SHARD_REEL_DRAGON_SCALE	SHARD	PURPLE		R1_3	500	15,300	25	25	4																						
SHARD_REEL_DRAGON_SCALE_GROVE	SHARD	RED		R2_21	10,000	104,000	20	70	5																						
SHARD_REEL_DRAGONS_BLADE	SHARD	CYAN		R2_16	8,000	82,000	25	75	4																						
SHARD_REEL_DROP_OF_MOONLIGHT	SHARD	RED		R2_21	10,000	104,000	20	70	5																						
SHARD_REEL_END_CENTURY_FLAME_RADIATOR	SHARD	RED		R2_21	10,000	104,000	20	70	5																						
SHARD_REEL_ENIDS_EXPENSIVE_ELIXIR	SHARD	PURPLE		R1_0	375	15,100	20	35	10																						
SHARD_REEL_ESCUTCHEON_OF_EYES	SHARD	CYAN		R2_15	6,000	74,000	25	125	4																						
SHARD_REEL_EXOTIC_FAN	SHARD	RED		R2_20	10,000	104,000	20	70	5																						
SHARD_REEL_EXPLOSIVE_CANNON	SHARD	RED		R2_21	10,000	104,000	20	70	5																						
SHARD_REEL_EYE_OF_THE_BEHOLDER	SHARD	ORANGE		R2_5	1,563	13,500	25	45	4																						
SHARD_REEL_EYE_ON_THE_PRIZE	SHARD	ORANGE		R2_9	3,750	20,400	25	60	4																						
SHARD_REEL_FAMILY_TREE_OF_UMLAUT	SHARD	RED		R2_21	10,000	104,000	20	70	5																						
SHARD_REEL_FEATHER_OF_PHOENIX	SHARD	RED		R2_20	10,000	104,000	20	70	5																						
SHARD_REEL_FEATHER_WEIGHT_FOIL	SHARD	CYAN		R2_15	6,000	74,000	25	125	4																						
SHARD_REEL_FEATHER_WEIGHT_PAULDRONS	SHARD	CYAN		R2_14	6,000	70,000	25	120	4																						
SHARD_REEL_FINS_OF_SEA_DRAGON	SHARD	RED		R2_20	10,000	104,000	20	70	5																						
SHARD_REEL_FLAIL_OF_TOTAL_DEVASTATION	SHARD	BLUE		R1	1,200	30,600	12	95	10																						
SHARD_REEL_FLATTERING_MIRROR	SHARD	ORANGE		R2_13	2,000	26,100	25	70	4																						
SHARD_REEL_FLOPPIN_FLIP_FLOPS	SHARD	ORANGE		R2_10	2,000	23,200	25	70	4																						
SHARD_REEL_GIRDLE_OF_VICTORY	SHARD	ORANGE		R1_4	625	18,000	25	30	4																						
SHARD_REEL_GLASS_CASE_OF_EMOTION	SHARD	ORANGE		R2_2	1,000	9,900	25	40	4																						
SHARD_REEL_GLORY_SEEKER	SHARD	ORANGE		R2_5	1,563	13,500	25	45	4																						
SHARD_REEL_GOLD_AX_SILVER_AX	SHARD	RED		R2_22	10,000	104,000	20	70	5																						
SHARD_REEL_GOLD_RUSH	SHARD	RED		R2_20	10,000	104,000	20	70	5																						
SHARD_REEL_GOOD_SLEEPING_BED	SHARD	CYAN		R2_18	10,000	104,000	20	85	4																						
SHARD_REEL_GOURD	SHARD	RED		R2_20	10,000	104,000	20	70	5																						
SHARD_REEL_GREAVES_OF_PLEIAS	SHARD	CYAN		R2_16	8,000	82,000	25	75	4																						
SHARD_REEL_GRIEVOUS_BODILY_HARM	SHARD	PURPLE		R1_2	200	10,500	25	20	2																						
SHARD_REEL_HAMMER_OF_WICKED_BEATS	SHARD	PURPLE		R1_0	265	12,000	20	30	10																						
SHARD_REEL_HAMMER_TIME	SHARD	ORANGE		R2_6	2,000	15,100	25	50	4																						
SHARD_REEL_HANDY_RASP	SHARD	RED		R2_22	10,000	104,000	20	70	5																						
SHARD_REEL_HEART_HAT	SHARD	CYAN		R2_15	2,000	38,000	25	80	4																						
SHARD_REEL_HEART_HEALTH_CANDY	SHARD	ORANGE		R2_10	2,000	23,200	25	70	4																						
SHARD_REEL_HELMET_OF_FORESIGHT	SHARD	CYAN		R2_16	8,000	82,000	25	140	4																						
SHARD_REEL_HERMITS_PILLS	SHARD	RED		R2_20	10,000	104,000	20	70	5																						
SHARD_REEL_HOLY_LANCE_OF_PLOT_ADVANCEMENT	SHARD	ORANGE		R2_5	1,563	13,500	25	45	4																						
SHARD_REEL_HORNS_OF_WHITE_DEER	SHARD	RED		R2_22	10,000	104,000	20	70	5																						
SHARD_REEL_INTIMIDATING_BEARD	SHARD	BLUE		R1	2,000	10,900	12	60	4																						
SHARD_REEL_IRON_HELMET_OF_BIKING	SHARD	CYAN		R2_17	12,000	130,000	25	75	4																						
SHARD_REEL_IVY_LEAGUE_HAIRCUT	SHARD	ORANGE		R2_2	1,000	9,500	25	35	4																						
SHARD_REEL_JAR_OF_KITTEN_TEAR	SHARD	ORANGE		R2_1	813	18,600	25	30	4																						
SHARD_REEL_KINDNESS	SHARD	BLUE		R1	600	28,800	12	95	8																						
SHARD_REEL_LASER_POINTER	SHARD	BLUE		R1	1,250	13,200	12	60	4																						
SHARD_REEL_LEAD_ZEPPELIN	SHARD	BLUE		R1	700	12,000	12	60	4																						
SHARD_REEL_LIFEDRINKER	SHARD	PURPLE		R1_2	220	11,000	25	20	2																						
SHARD_REEL_LORD_OF_RIVER	SHARD	RED		R2_22	10,000	104,000	20	70	5																						
SHARD_REEL_LOST_GREAVES	SHARD	ORANGE		R2_13	2,000	26,100	25	70	4																						
SHARD_REEL_MAGATAMA	SHARD	RED		R2_20	10,000	104,000	20	70	5																						
SHARD_REEL_MAGICAL_CREAM	SHARD	CYAN		R2_18	10,000	104,000	20	70	4																						
SHARD_REEL_MAGICAL_HATRACK	SHARD	RED		R2_22	10,000	104,000	20	70	5																						
SHARD_REEL_MAGICAL_PEST_MAST	SHARD	CYAN		R2_17	12,000	130,000	25	75	4																						
SHARD_REEL_MAI_TAI_OF_IMMUNITY	SHARD	CYAN		R2_16	4,000	44,000	25	75	4																						
SHARD_REEL_MASK_OF_THE_ANCIENT_KING	SHARD	CYAN		R2_18	10,000	104,000	20	68	4																						
SHARD_REEL_MIRACLE_FURNACE_OF_BLACKSMITH	SHARD	CYAN		R2_18	10,000	104,000	20	75	4																						
SHARD_REEL_MJOLNIRBY	SHARD	PURPLE		R1_0	120	6,300	20	40	4																						
SHARD_REEL_MYSTERIOUS_EGG	SHARD	CYAN		R2_17	12,000	130,000	25	75	4																						
SHARD_REEL_MYSTICAL_ELVEN_JUNK	SHARD	ORANGE		R2_1	813	18,600	25	30	4																						
SHARD_REEL_NAVIGATION_TO_THE_PAST	SHARD	CYAN		R2_18	10,000	104,000	20	68	4																						
SHARD_REEL_NECRONOMICON	SHARD	BLUE		R1	900	9,900	12	45	2																						
SHARD_REEL_OGRES_BATTERING_RAM	SHARD	CYAN		R2_15	4,000	40,000	25	80	4																						
SHARD_REEL_ORB_OF_EVERLASTING_FLAVOR	SHARD	BLUE		R1	600	14,400	12	70	4																						
SHARD_REEL_ORBITAL_KITTY	SHARD	ORANGE		R2_6	2,000	15,600	25	55	4																						
SHARD_REEL_ORNATE_CROWN_OF_THE_GM	SHARD	ORANGE		R2_3	1,250	11,600	25	45	4																						
SHARD_REEL_PIECE_OF_ACOLYTE_STATUE	SHARD	RED		R2_21	10,000	104,000	20	70	5																						
SHARD_REEL_POCKET_PROTECTOR	SHARD	PURPLE		R1_0	120	8,000	25	20	2																						
SHARD_REEL_POISONED_SILVER_ACCESSORY_OF_SCORPION	SHARD	RED		R2_22	10,000	104,000	20	70	5																						
SHARD_REEL_PORTABLE_NUTRITIOUS_DIET	SHARD	RED		R2_21	10,000	104,000	20	70	5																						
SHARD_REEL_POWER_OF_SCIENCE	SHARD	ORANGE		R1_4	625	18,000	25	30	4																						
SHARD_REEL_PURIFICATION_ROBE	SHARD	CYAN		R2_14	2,000	34,000	25	75	4																						
SHARD_REEL_PYRAMID_POWER	SHARD	CYAN		R2_18	10,000	104,000	20	70	4																						
SHARD_REEL_RATTLING_SABRE	SHARD	ORANGE		R2_1	813	19,700	25	30	4																						
SHARD_REEL_REMOTE_COMMUNICATION_FLOWER	SHARD	RED		R2_22	10,000	104,000	20	70	5																						
SHARD_REEL_RING_OF_TEMPTATION	SHARD	CYAN		R2_16	4,000	44,000	25	75	4																						
SHARD_REEL_ROCKET_CLOAK	SHARD	CYAN		R2_14	6,000	70,000	25	120	4																						
SHARD_REEL_ROD_OF_WITTY_PARTY_BANTER	SHARD	PURPLE		R0_3	155	12,100	15	35	4																						
SHARD_REEL_RUBY_FLIP_FLOPS	SHARD	CYAN		R2_14	2,000	36,000	25	80	4																						
SHARD_REEL_SAMURAI_SWORD	SHARD	RED		R2_20	10,000	104,000	20	70	5																						
SHARD_REEL_SAND_STORM	SHARD	CYAN		R2_18	10,000	104,000	20	70	4																						
SHARD_REEL_SANDWICH_OF_UNSURPASSED_MEATINESS	SHARD	PURPLE		R1_0	240	7,300	25	20	4																						
SHARD_REEL_SECRET_HAND_SCROLL	SHARD	RED		R2_20	10,000	104,000	20	70	5																						
SHARD_REEL_SHINING_HOLY_TREE	SHARD	RED		R2_22	10,000	104,000	20	70	5																						
SHARD_REEL_SHINING_LIGHT_OF_FIREFLY	SHARD	RED		R2_22	10,000	104,000	20	70	5																						
SHARD_REEL_SHOES_OF_THE_MAD_GOD	SHARD	ORANGE		R2_8	3,125	17,400	25	55	4																						
SHARD_REEL_SHOVEL	SHARD	PURPLE		R1_0	200	17,000	20	40	8																						
SHARD_REEL_SHRIMPISH_CREATURE	SHARD	RED		R2_22	10,000	104,000	20	70	5																						
SHARD_REEL_SICK_MULLET	SHARD	ORANGE		R2_6	2,000	15,600	25	55	4																						
SHARD_REEL_SOUL_FOR_POWER_VOLUME_45	SHARD	CYAN		R2_15	6,000	74,000	25	125	4																						
SHARD_REEL_STEAM_ENGINE	SHARD	CYAN		R2_17	12,000	130,000	25	75	4																						
SHARD_REEL_SUNBLOCK_GOGGLES	SHARD	CYAN		R2_18	10,000	104,000	20	65	4																						
SHARD_REEL_SUPER_SPIKEY_SPEAR	SHARD	PURPLE		R0_3	260	3,400	15	35	4																						
SHARD_REEL_SWORD_OF_DESPAIR	SHARD	CYAN		R2_16	4,000	44,000	25	75	4																						
SHARD_REEL_TAROT_DECK_OF_HYPERBOLE	SHARD	ORANGE		R2_3	1,250	11,200	25	45	4																						
SHARD_REEL_THE_1_RING	SHARD	PURPLE		R0_3	200	3,800	15	30	4																						
SHARD_REEL_THE_COMPENSATOR	SHARD	BLUE		R1	1,300	26,900	12	80	8																						
SHARD_REEL_THE_MAD_GODS_TRIDENT	SHARD	BLUE		R1	500	18,400	12	60	6																						
SHARD_REEL_THE_SHIELD_STOPS_YOU	SHARD	CYAN		R2_17	12,000	130,000	25	75	4																						
SHARD_REEL_THE_SPEAR_BRINGS_VICTORY	SHARD	RED		R2_21	10,000	104,000	20	70	5																						
SHARD_REEL_THINKING_CAP	SHARD	BLUE		R1	1,250	25,000	12	80	8																						
SHARD_REEL_TIGER_SALVE	SHARD	RED		R2_20	10,000	104,000	20	70	5																						
SHARD_REEL_TIGER_UNDERWEAR	SHARD	RED		R2_20	10,000	104,000	20	70	5																						
